practice_code,practice_name
1,Forest Bundle
1,Longleaf Pine Bundle
1,Buffer Bundle
1 - Irrigated Cropland,MRBI Bundle
1 - Organic,Pasture Bundle
"1 - Precision Ag, No till",Crop Bundle
18 - Precision Ag,Crop Bundle
19 - Soil Health Precision Ag,Crop Bundle
2,Range Bundle
2,Longleaf Pine Bundle
2,Pasture Bundle
2,Ogallala Bundle
2,Buffer Bundle
2 - Non-Irrigated Cropland,MRBI Bundle
2 - Post-fire Management,Forest Bundle
"2 - Precision Ag, Reduced till",Crop Bundle
20 - Soil Health Assessment,Crop Bundle
21 - Crop Bundle (Organic),Crop Bundle
22 - Erosion Bundle (Organic),Crop Bundle
23 - Pheasant and quail habitat,Crop Bundle
24 - Cropland Soil Health Management System,Crop Bundle
3,Longleaf Pine Bundle
3,Forest Bundle
3 - Non-Irrigated Cropland,MRBI Bundle
"3 - Soil health rotation, No till",Crop Bundle
3 -- Soil Health,Pasture Bundle
311,Alley Cropping
314,Brush Management
315,Herbaceous Weed Treatment
319,On-Farm Secondary Containment Facility
324,Deep Tillage
327,Conservation Cover
328,Conservation Crop Rotation
329,"Residue and Tillage Management, No Till"
333,Amending Soil Properties with Gypsum Products
334,Controlled Traffic Farming
338,Prescribed Burning
340,Cover Crop
342,Critical Area Planting
345,"Residue and Tillage Management, Reduced Till"
373,Dust Control on Unpaved Roads and Surfaces
374,Energy Efficient Agricultural Operation
376,Field Operations Emissions Reduction
378,Pond
380,Windbreak/Shelterbelt Establishment and Renovation
381,Silvopasture
382,Fence
383,Fuel Break
384,Woody Residue Treatment
386,Field Border
390,Riparian Herbaceous Cover
391,Riparian Forest Buffer
393,Filter Strip
394,Firebreak
395,Stream Habitat Improvement and Management
399,Fishpond Management
4,Longleaf Pine Bundle
"4 - Cropland with Water Bodies, No till",MRBI Bundle
"4 - Soil health rotation, Reduced till",Crop Bundle
410,Grade Stabilization Structure
412,Grassed Waterway
420,Wildlife Habitat Planting
422,Hedgerow Planting
430,Irrigation Pipeline
441,"Irrigation System, Microirrigation"
442,Sprinkler System
443,"Irrigation System, Surface and Subsurface"
449,Irrigation Water Management
462,Precision Land Forming and Smoothing
464,Irrigation Land Leveling
466,Land Smoothing
472,Access Control
484,Mulching
490,Tree/Shrub Site Preparation
"5 - Soil Health Assessment, No till",Crop Bundle
511,Forage Harvest Management
512,Pasture and Hay Planting
516,Livestock Pipeline
528,Prescribed Grazing
533,Pumping Plant
550,Range Planting
554,Drainage Water Management
558,Roof Runoff Structure
561,Heavy Use Area Protection
570,Stormwater Runoff Control
574,Spring Development
576,Livestock Shelter Structure
578,Stream Crossing
580,Streambank and Shoreline Protection
587,Structure for Water Control
590,Nutrient Management
595,Pest Management Conservation System
6 - Pasture,Pasture Bundle
6 - Pastureland,MRBI Bundle
"6 - Soil Health Assessment, Reduced till",Crop Bundle
606,Subsurface Drain
610,Salinity and Sodic Soil Management
612,Tree/Shrub Establishment
614,Watering Facility
620,Underground Outlet
643,Restoration of Rare or Declining Natural Communities
644,Wetland Wildlife Habitat Management
645,Upland Wildlife Habitat Management
646,Shallow Water Development and Management
647,Early Successional Habitat Development-Mgt
649,Structures for Wildlife
650,Windbreak/Shelterbelt Renovation
654,Road/Trail/Landing Closure and Treatment
655,Forest Trails and Landings
660,Tree-Shrub Pruning
666,Forest Stand Improvement
7 - Soil Health -Organic,Crop Bundle
AGLAND,Associated Ag Land
B000CPL10,YEAR 1 Irrigated Cropland (MRBI/Ogallala)
B000CPL11,YEAR 2+ Irrigated Cropland (MRBI/Ogallala)
B000CPL12,Non-Irrigated Precision Ag (MRBI)
B000CPL13,Non-Irrigated Cropland (MRBI)
B000CPL14,YEAR 1 Irrigated Precision Ag Cropland (MRBI)
B000CPL15,YEAR 2+ Irrigated Precision Ag Cropland (MRBI)
B000CPL16,Non-Irrigated Cropland with Water Bodies (MRBI)
B000CPL25,Climate Smart Advanced Soil Health
B000GRZ1,Grazing Bundle 1 - Range and Pasture
B000GRZ2,Grazing Bundle 2 - Range and Pasture
B000GRZ3,Grazing Bundle 3 - Range and Pasture
B000GRZ4,Grazing Bundle 4 - Range and Pasture
B000GRZ5,Grazing Bundle 5 - Range and Pasture
B000PST5,Pasture Bundle 5
B000RNG4,Range Bundle 4
B000WLW,Working Lands for Wildlife Bundle
CROP,Cropland Annual Payment
E199A,Comprehensive Conservation Plan
E300EAP1,Existing Activity Payment-Land Use
E300EAP2,Existing Activity Payment-Resource Concern
E314133Z,Brush management for improved structure and composition
E314134Z,Brush management that maintains or enhances wildlife or fish habitat
E314A,Brush management to improve wildlife habitat
E315132Z,Herbaceous weed control for desired plant communities/habitats consistent with the ecological site
E315133Z,Herbaceous weed control (inadequate structure and comp) for desired plant communities/habitats
E315134Z,Herbaceous weed control (plant pest pressures) for desired plant communities/habitats
E315A,Herbaceous weed treatment to create plant communities consistent with the ecological site
E327136Z1,Conservation cover to provide food habitat for pollinators and beneficial insects
E327136Z2,Establish Monarch butterfly habitat
E327137Z,Conservation cover to provide cover and shelter habitat for pollinators and beneficial insects
E327139Z,Conservation cover to provide habitat continuity for pollinators and beneficial insects
E327A,Conservation cover for pollinators and beneficial insects
E327B,Establish Monarch butterfly habitat
E328101I,Improved resource conserving crop rotation to reduce water erosion
E328101R,Resource conserving crop rotation to reduce water erosion
E328101Z,Conservation crop rotation on recently converted CRP grass/legume cover for water erosion
E328102I,Improved resource conserving crop rotation to reduce wind erosion
E328102R,Resource conserving crop rotation to reduce wind erosion
E328102Z,Conservation crop rotation on recently converted CRP grass/legume cover for wind erosion
E328106I,Improved resource conserving crop rotation for soil organic matter improvement
E328106R,Resource conserving crop rotation for soil organic matter improvement
E328106Z1,Soil health crop rotation
E328106Z2,Modifications to improve soil health and increase soil organic matter
E328106Z3,Conservation crop rotation on recently converted CRP grass/legume cover for SOM improvement
E328107I,Improved resource conserving crop rotation to improve soil compaction
E328107R,Resource conserving crop rotation to improve soil compaction
E328109Z,Conservation crop rotation to reduce the concentration of salts
E328134I,Improved resource conserving crop rotation to relieve plant pest pressure
E328134R,Resource conserving crop rotation to relieve plant pest pressure
E328136Z,Leave standing grain crops unharvested to benefit wildlife food sources
E328136Z2,Improved crop rotation to provide benefits to pollinators
E328137Z,Leave standing grain crops unharvested to benefit wildlife cover and shelter
E328A,Resource conserving crop rotation
E328B,Improved resource conserving crop rotation
E328C,Conservation crop rotation on recently converted CRP grass/legume cover
E328D,Leave standing grain crops unharvested to benefit wildlife
E328E,Soil health crop rotation
E328F,Modifications to improve soil health and increase soil organic matter
E328G,Crop rotation on recently converted CRP grass/legume cover for soil organic matter improvement
E328H,Conservation crop rotation to reduce the concentration of salts
E328I,Forage harvest to reduce water quality impacts by utilization of excess soil nutrients
E328J,Improved crop rotation to provide benefits to pollinators
E328K,Multiple crop types to benefit wildlife
E328L,Leaving tall crop residue for wildlife
E328M,Diversify crop rotation with canola or sunflower to provide benefits to pollinators
E328N,Intercropping to Improve Soil Health
E328O,Perennial Grain Conservation Crop Rotation
E328P,Low Nitrogen Requirement Annual Crop Rotation
E329101Z,No till to reduce water erosion
E329102Z,No till system to reduce wind erosion
E329106Z,No till system to increase soil health and soil organic matter content
E329114Z,No till to increase plant-available moisture: irrigation water
E329115Z,No till to increase plant-available moisture: moisture management
E329128Z,No till to reduce tillage induced particulate matter
E329144Z,No till to reduce energy
E329A,No till to reduce soil erosion
E329B,No till to reduce tillage induced particulate matter
E329C,No till to increase plant-available moisture
E329D,No till system to increase soil health and soil organic matter content
E329E,No till to reduce energy
