code,name,display_name
101,CNMP Design and Implementation Activity,CNMP Design and Implementation Activity (101)
102,Comprehensive Nutrient Management Plan,Comprehensive Nutrient Management Plan (102)
104,Nutrient Management Plan - Written,Nutrient Management Plan - Written (104)
106,Forest Management Plan,Forest Management Plan (106)
110,Grazing Management Plan,Grazing Management Plan (110)
112,Prescribed Burning Plan - Written,Prescribed Burning Plan - Written (112)
114,Integrated Pest Management Plan - Written,Integrated Pest Management Plan - Written (114)
116,Soil Health Management Plan,Soil Health Management Plan (116)
118,Irrigation Water Management Plan - Written,Irrigation Water Management Plan - Written (118)
120,Agricultural Energy Design,Agricultural Energy Design (120)
122,"Agricultural Energy Management Plan, Headquarters - Written","Agricultural Energy Management Plan, Headquarters - Written (122)"
124,"Agricultural  Energy Management Plan, Landscape - Written","Agricultural  Energy Management Plan, Landscape - Written (124)"
128,Agricultural Energy Management Plan - Written,Agricultural Energy Management Plan - Written (128)
130,Drainage Water Management Plan - Written,Drainage Water Management Plan - Written (130)
132,Soil Resources Planning - Written,Soil Resources Planning - Written (132)
136,Agricultural Energy Design Plan - Written,Agricultural Energy Design Plan - Written (136)
138,Conservation Plan Supporting Organic Transition,Conservation Plan Supporting Organic Transition (138)
140,Transition to Organic Design,Transition to Organic Design (140)
142,Fish and Wildlife Habitat Plan - Written,Fish and Wildlife Habitat Plan - Written (142)
144,Fish and Wildlife Habitat Design,Fish and Wildlife Habitat Design (144)
146,Pollinator Habitat Plan - Written,Pollinator Habitat Plan - Written (146)
148,Pollinator Habitat Design,Pollinator Habitat Design (148)
154,IPM Herbicide Resistance Weed Conservation Plan - Written,IPM Herbicide Resistance Weed Conservation Plan - Written (154)
157,Nutrient Management Design and Implementation Activity ,Nutrient Management Design and Implementation Activity  (157)
159,Grazing Management Design,Grazing Management Design (159)
160,Prescribed Burning  Design,Prescribed Burning  Design (160)
161,Pest Management Conservation System Design,Pest Management Conservation System Design (161)
162,Soil Health Management System Design,Soil Health Management System Design (162)
163,Irrigation Water Management Design ,Irrigation Water Management Design  (163)
164,Improved Management of Drainage Water Design,Improved Management of Drainage Water Design (164)
165,Forest Management Practice Design,Forest Management Practice Design (165)
199,Conservation Plan,Conservation Plan (199)
201,Edge-of-Field Water Quality Monitoring-Data Collection and Evaluation,Edge-of-Field Water Quality Monitoring-Data Collection and Evaluation (201)
202,Edge-of-Field Water Quality Monitoring-System Installation,Edge-of-Field Water Quality Monitoring-System Installation (202)
207,Site Assessment and Soil Testing for Contaminants Activity,Site Assessment and Soil Testing for Contaminants Activity (207)
216,Soil Health Testing,Soil Health Testing (216)
217,Soil and Source Testing for Nutrient Management,Soil and Source Testing for Nutrient Management (217)
222,Indigenous Stewardship Methods Evaluation,Indigenous Stewardship Methods Evaluation (222)
223,Forest Management Assessment,Forest Management Assessment (223)
224,Aquifer Flow Test,Aquifer Flow Test (224)
228,Agricultural Energy Assessment,Agricultural Energy Assessment (228)
297,Feral Swine Damage Assessment,Feral Swine Damage Assessment (297)
309,Agrichemical Handling Facility,Agrichemical Handling Facility (309)
311,Alley Cropping,Alley Cropping (311)
313,Waste Storage Facility,Waste Storage Facility (313)
314,Brush Management,Brush Management (314)
315,Herbaceous Weed Treatment,Herbaceous Weed Treatment (315)
316,Animal Mortality Facility,Animal Mortality Facility (316)
317,Composting Facility,Composting Facility (317)
319,On-Farm Secondary Containment Facility,On-Farm Secondary Containment Facility (319)
320,Irrigation Canal or Lateral,Irrigation Canal or Lateral (320)
324,Deep Tillage,Deep Tillage (324)
325,High Tunnel System,High Tunnel System (325)
326,Clearing and Snagging,Clearing and Snagging (326)
327,Conservation Cover,Conservation Cover (327)
328,Conservation Crop Rotation,Conservation Crop Rotation (328)
329,"Residue and Tillage Management, No Till","Residue and Tillage Management, No Till (329)"
330,Contour Farming,Contour Farming (330)
331,Contour Orchard and Other Perennial Crops,Contour Orchard and Other Perennial Crops (331)
332,Contour Buffer Strips,Contour Buffer Strips (332)
333,Amending Soil Properties with Gypsum Products,Amending Soil Properties with Gypsum Products (333)
334,Controlled Traffic Farming,Controlled Traffic Farming (334)
338,Prescribed Burning,Prescribed Burning (338)
340,Cover Crop,Cover Crop (340)
342,Critical Area Planting,Critical Area Planting (342)
344,"Residue Management, Seasonal","Residue Management, Seasonal (344)"
345,"Residue and Tillage Management, Reduced Till","Residue and Tillage Management, Reduced Till (345)"
346,"Residue and Tillage Management, Ridge Till","Residue and Tillage Management, Ridge Till (346)"
348,"Dam, Diversion","Dam, Diversion (348)"
350,Sediment Basin,Sediment Basin (350)
351,Well Decommissioning,Well Decommissioning (351)
355,Groundwater Testing,Groundwater Testing (355)
356,Dike and Levee,Dike and Levee (356)
359,Waste Treatment Lagoon,Waste Treatment Lagoon (359)
360,Waste Facility Closure,Waste Facility Closure (360)
362,Diversion,Diversion (362)
366,Anaerobic Digester,Anaerobic Digester (366)
367,Roofs and Covers,Roofs and Covers (367)
368,Emergency Animal Mortality Management,Emergency Animal Mortality Management (368)
372,Combustion System Improvement,Combustion System Improvement (372)
373,Dust Control on Unpaved Roads and Surfaces,Dust Control on Unpaved Roads and Surfaces (373)
374,Energy Efficient Agricultural Operation,Energy Efficient Agricultural Operation (374)
375,Dust Management for Pen Surfaces,Dust Management for Pen Surfaces (375)
376,Field Operations Emissions Reduction,Field Operations Emissions Reduction (376)
378,Pond,Pond (378)
379,Forest Farming,Forest Farming (379)
