,year,state,county,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
0,2014,Alabama,Autauga,48,11957,3993163,549805,395294,275846,0.501716,121335,154511,2527.8125,10.14761228
1,2014,Alabama,Baldwin,286,73906,26324827,2310041,1528286,1393943,0.603427,612188,781755,2140.517483,8.283332882
2,2014,Alabama,Barbour,84,14930,5690718,1182245,749550,666210,0.563512,233515,432695,2779.940476,15.6406564
3,2014,Alabama,Bibb,6,374,84877,21758,14918,65857,3.026794,59017,6840,9836.166667,157.7994652
4,2014,Alabama,Blount,45,6153,2413284,230905,173662,27744,0.120153,-29499,57243,-655.5333333,-4.794246709
5,2014,Alabama,Bullock,36,8083,2452490,365391,245305,234281,0.641178,114195,120086,3172.083333,14.12779908
6,2014,Alabama,Butler,19,3667,1086600,231512,141684,65709,0.283825,-24119,89828,-1269.421053,-6.577311154
7,2014,Alabama,Calhoun,64,9356,3395138,336753,241560,75983,0.225634,-19210,95193,-300.15625,-2.053227875
8,2014,Alabama,Chambers,8,2810,576045,71094,41557,30041,0.422553,504,29537,63,0.179359431
9,2014,Alabama,Cherokee,285,37208,13660258,1463212,1058070,51176,0.034975,-353966,405142,-1241.985965,-9.513169211
10,2014,Alabama,Chilton,33,1543,1218750,453042,296291,725369,1.601107,568618,156751,17230.84848,368.514582
11,2014,Alabama,Choctaw,3,616,142148,22145,14173,25149,1.135651,17177,7972,5725.666667,27.88474026
12,2014,Alabama,Clarke,1,779,263072,28192,16633,0,0,-11559,11559,-11559,-14.83825417
13,2014,Alabama,Clay,1,251,100309,13167,7769,0,0,-5398,5398,-5398,-21.5059761
14,2014,Alabama,Cleburne,7,595,138104,19482,11664,774,0.039728,-7044,7818,-1006.285714,-11.83865546
15,2014,Alabama,Coffee,301,40886,15396824,4191391,2476819,3707125,0.884461,1992553,1714572,6619.777409,48.73435895
16,2014,Alabama,Colbert,223,63000,18975343,1830887,1387399,80436,0.043932,-363052,443488,-1628.035874,-5.762730159
17,2014,Alabama,Conecuh,53,10749,4097874,702830,421604,372270,0.529672,91044,281226,1717.811321,8.469997209
18,2014,Alabama,Coosa,2,208,56210,8535,5036,0,0,-3499,3499,-1749.5,-16.82211538
19,2014,Alabama,Covington,242,37413,14941034,2943454,1802538,2798573,0.950778,1657657,1140916,6849.822314,44.30697886
20,2014,Alabama,Crenshaw,50,6087,2001047,463801,285250,356269,0.76815,177718,178551,3554.36,29.19632003
21,2014,Alabama,Cullman,54,9479,2577614,252481,198543,2735,0.010832,-51203,53938,-948.2037037,-5.40173014
22,2014,Alabama,Dale,179,26302,10683471,2219776,1344365,1622560,0.730956,747149,875411,4174.01676,28.40654703
23,2014,Alabama,Dallas,89,31847,8841966,1391667,1033289,754961,0.542486,396583,358378,4455.988764,12.4527585
24,2014,Alabama,De Kalb,140,32138,10049178,1296667,939794,208919,0.16112,-147954,356873,-1056.814286,-4.603709005
25,2014,Alabama,Elmore,65,16298,5212704,486426,369631,84361,0.17343,-32434,116795,-498.9846154,-1.99006013
26,2014,Alabama,Escambia,215,47115,20501095,2273782,1463794,586270,0.257839,-223718,809988,-1040.548837,-4.74833917
27,2014,Alabama,Etowah,53,8655,3244104,315894,234321,6181,0.019566,-75392,81573,-1422.490566,-8.710803004
28,2014,Alabama,Fayette,22,4801,1294574,183839,123709,0,0,-60130,60130,-2733.181818,-12.52447407
29,2014,Alabama,Franklin,63,10651,2434465,311074,207294,77096,0.247838,-26684,103780,-423.5555556,-2.505304666
30,2014,Alabama,Geneva,480,61965,23555704,5236550,3189417,6070501,1.159255,4023368,2047133,8382.016667,64.92968611
31,2014,Alabama,Greene,19,3842,785061,153635,108504,316281,2.058651,271150,45131,14271.05263,70.57522124
32,2014,Alabama,Hale,28,10304,2417178,310733,212248,230729,0.742531,132244,98485,4723,12.83423913
33,2014,Alabama,Henry,267,48937,18464571,3952264,2299258,5011008,1.267882,3358002,1653006,12576.78652,68.61887733
34,2014,Alabama,Houston,511,73765,28140405,5926200,3531419,7068619,1.192774,4673838,2394781,9146.454012,63.36118756
35,2014,Alabama,Jackson,185,55501,17246920,1874284,1284809,139882,0.074632,-449593,589475,-2430.232432,-8.100628817
36,2014,Alabama,Lamar,16,4153,1311174,226561,146159,25512,0.112605,-54890,80402,-3430.625,-13.2169516
37,2014,Alabama,Lauderdale,339,69293,23003270,2538291,1880894,149951,0.059075,-507446,657397,-1496.890855,-7.323192819
38,2014,Alabama,Lawrence,315,92533,31075092,3059109,2176936,47369,0.015484,-834804,882173,-2650.171429,-9.021689559
39,2014,Alabama,Lee,24,4315,963530,119637,84846,46199,0.386159,11408,34791,475.3333333,2.643800695
40,2014,Alabama,Limestone,735,128503,41707559,3797441,2601808,198920,0.052382,-996713,1195633,-1356.072109,-7.756340319
41,2014,Alabama,Lowndes,30,19601,3500961,395943,266116,210785,0.532361,80958,129827,2698.6,4.130299475
42,2014,Alabama,Macon,35,8652,2716419,325887,222549,166802,0.511839,63464,103338,1813.257143,7.335182617
43,2014,Alabama,Madison,566,110022,38287171,4054203,2813156,104075,0.02567,-1136972,1241047,-2008.784452,-10.33404228
44,2014,Alabama,Marengo,35,11160,2652941,454490,326004,274951,0.604966,146465,128486,4184.714286,13.12410394
45,2014,Alabama,Marion,32,5799,1200121,161642,125432,3022,0.018695,-33188,36210,-1037.125,-5.723055699
46,2014,Alabama,Marshall,103,13602,3612162,431197,315255,9680,0.022449,-106262,115942,-1031.669903,-7.812233495
47,2014,Alabama,Mobile,50,22425,8117234,825457,536165,351594,0.425938,62302,289292,1246.04,2.778238573
