year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
2018,AK,16,6759,793124,79666,64136,96707,1.213905,81177,15530,5073.5625,12.01020861
2018,AL,6351,1353384,511699243,67069861,45412414,49990124,0.745344,28332677,21657447,4461.136356,20.93469185
2018,AR,16116,5313517,1768265745,131853344,92140702,122854158,0.931748,83141516,39712642,5158.942417,15.6471723
2018,AZ,1198,24358814,628708078,129457110,71202090,155840165,1.203797,97585145,58255020,81456.71536,4.006153378
2018,CA,22169,6669486,7771582477,377087146,229636318,294345164,0.780575,146894336,147450828,6626.114665,22.0248361
2018,CO,14505,7104953,1058428383,163864114,98862784,143906145,0.878204,78904815,65001330,5439.835574,11.10560689
2018,CT,213,18364,28059715,6516095,4094220,2085475,0.320049,-336400,2421875,-1579.342723,-18.31844914
2018,DE,1412,319927,108266789,8881765,5408817,7659191,0.86235,4186243,3472948,2964.761331,13.08499439
2018,FL,4567,2163806,933953142,72973722,42477555,203826828,2.793153,173330661,30496167,37952.84892,80.10452924
2018,GA,14196,2699967,1463098980,171023753,109777631,378121910,2.210932,316875788,61246122,22321.48408,117.3628374
2018,HI,115,28461,93281448,1045166,638482,1234918,1.181552,828234,406684,7202.034783,29.10066407
2018,IA,119874,21813914,11947363198,625280785,336063811,326905407,0.522813,37688433,289216974,314.4003954,1.72772447
2018,ID,5242,2599453,903667942,56372436,30959209,24780852,0.439591,-632375,25413227,-120.6362076,-0.243272335
2018,IL,118391,19390470,10563561797,646217972,368747684,104630432,0.161911,-172839856,277470288,-1459.907054,-8.913649643
2018,IN,45106,9538681,5025094276,352339689,198653049,77907290,0.221114,-75779350,153686640,-1680.028156,-7.944426488
2018,KS,112983,19292383,4561493642,605093262,377248819,341118767,0.563745,113274324,227844443,1002.578476,5.871453205
2018,KY,16088,3472093,1524207772,144211796,92842500,111811088,0.775325,60441792,51369296,3756.948782,17.40788395
2018,LA,7211,2863471,1093701492,79424795,56582383,83783382,1.054876,60940970,22842412,8451.11219,21.28220261
2018,MA,439,26102,38629402,3587040,2314357,1481059,0.412891,208376,1272683,474.6605923,7.983143054
2018,MD,4074,851826,295526508,28666132,18219154,20356480,0.710123,9909502,10446978,2432.376534,11.6332467
2018,ME,440,109013,78778974,10772895,7158197,5388878,0.500225,1774180,3614698,4032.227273,16.27493969
