old_fips_code,old_county_name,old_county_acres_2023,new_fips_code,new_region_name,new_region_acres_2024,allocation_weight,notes
09001,Fairfield,49,09909,Western CT,183,1.0,Complete 1:1 mapping
09003,Hartford,5231,09901,Capitol,7435,0.8054,Acreage-weighted allocation
09003,Hartford,5231,09906,Northwest Hills,1797,0.1946,Acreage-weighted allocation
09005,Litchfield,3018,09906,Northwest Hills,1797,0.9076,Acreage-weighted allocation
09005,Litchfield,3018,09909,Western CT,183,0.0924,Acreage-weighted allocation
09007,Middlesex,178,09903,Lower CT River Valley,187,1.0,Complete 1:1 mapping
09009,New Haven,670,09907,South Central CT,423,0.2556,Acreage-weighted allocation
09009,New Haven,670,09904,Naugatuck Valley,1045,0.6314,Acreage-weighted allocation
09009,New Haven,670,09903,Lower CT River Valley,187,0.113,Acreage-weighted allocation
09011,New London,3925,09908,Southeastern CT,4015,0.4754,Acreage-weighted allocation
09011,New London,3925,09905,Northeastern CT,4431,0.5246,Acreage-weighted allocation
09013,Tolland,2360,09905,Northeastern CT,4431,0.3734,Acreage-weighted allocation
09013,Tolland,2360,09901,Capitol,7435,0.6266,Acreage-weighted allocation
09015,Windham,4620,09905,Northeastern CT,4431,1.0,Complete 1:1 mapping
