year,region,region_fips,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,net_benefit,farmer_premium,loss_ratio,benefit_by_pol,benefit_by_acre
2014,Capitol,09901,117.962298,7607.556844,18257805.966918,3623514.311356,2194110.023552,2209824.834466,780420.546662,1429404.287804,0.6098567977337542,6615.847265555983,102.5849116431525
2014,South Central Connecticut,09903,13.655528,569.219904,1064354.256328,172363.667976,118466.017672,29807.142776,-24090.507528000002,53897.650304,0.17293170379821785,-1764.1578947368423,-42.321969696969695
2014,Naugatuck Valley,09904,12.194173,810.563373,1211510.631137,211966.22126700002,134989.623533,102679.880506,25703.282772000002,76976.59773400001,0.4844162427968221,2107.8332062371105,31.710392583949144
2014,Northeastern Connecticut,09905,39.141276,6369.329003999999,2609177.248779,214588.737608,138942.91101399998,75902.852612,257.0260180000005,75645.826594,0.3537131233357435,6.566623377326802,0.04035370410895491
2014,Northwest Hills,09906,26.737028000000002,2885.11343,2515809.8189129997,402369.81824500003,249282.72662099998,271677.34463,118590.253006,153087.091624,0.6751931489666992,4435.431380256624,41.10419083453506
2014,Lower Connecticut River Valley,09907,8.834076,668.496384,948761.9745690001,141654.589798,100589.930164,67392.810072,26328.150438,41064.659634,0.4757545108005494,2980.294762915782,39.38413291103157
2014,Eastern Connecticut,09908,25.740408000000002,4019.364672,1549157.673252,91392.428484,61269.059412,3996.951276,-26126.417796,30123.369071999998,0.04373394319749084,-1014.9962578681736,-6.500136197644323
2014,Western Connecticut,09909,5.735104,349.350995,221832.79434800002,31186.610846000003,19817.510516000002,76351.139196,64982.038866,11369.100330000001,2.4482025178376445,11330.57724253998,186.00788260528643
2015,Capitol,09901,98.143832,5528.373792,16958626.370466,3708067.9664999996,2219199.372496,1980476.6517400001,491608.05773600005,1488868.594004,0.5340993395030318,5009.057092207282,88.92453300596213
2015,South Central Connecticut,09903,11.499392,489.442872,1137072.8177760001,200495.49308000001,135472.18101600002,7841.14792,-57182.164144,65023.312064000005,0.03910884878031294,-4972.625,-116.83113069016153
2015,Naugatuck Valley,09904,10.539352,726.097952,1225721.3487729998,230930.292556,144814.417172,88479.477341,2363.601956999999,86115.87538400001,0.38314365933409955,224.26444785220184,3.255210885101077
2015,Northeastern Connecticut,09905,35.431035,5824.7625610000005,2252303.112775,186458.056687,120704.72388,615.3859199999999,-65137.946887,65753.332807,0.0033003986576617857,-1838.4432429648186,-11.182935991783511
2015,Northwest Hills,09906,23.338757,2647.5867240000002,2415379.670848,417099.30748099997,252639.228514,224815.44783699999,60355.36887,164460.078967,0.5389974133372085,2586.0575552502646,22.796370869700734
2015,Lower Connecticut River Valley,09907,7.530425,586.110801,839463.361195,133626.47994699999,93468.36133,0.0,-40158.118617,40158.118617,0.0,-5332.782494613518,-68.51625758898102
2015,Eastern Connecticut,09908,23.0394,3658.431408,1206031.09056,66264.308376,44378.10174,0.0,-21886.206636,21886.206636,0.0,-949.9469012213859,-5.982401798798465
2015,Western Connecticut,09909,5.47771,315.18915,199801.48074700002,31333.226262000004,19768.296745,8372.642114,-3192.2874030000003,11564.929517,0.26721289547364896,-582.7777306575193,-10.128164002472802
2016,Capitol,09901,91.07086000000001,5102.121534,13283576.602432001,3522259.0492,2133207.7599259997,1449083.514354,60032.225080000004,1389051.289274,0.41140742180309714,659.1814887879614,11.766129967691201
2016,South Central Connecticut,09903,10.78068,432.664624,926596.571152,193682.10332,128683.946176,161301.971584,96303.81444,64998.157144000004,0.8328181531439599,8933.0,222.58305647840533
2016,Naugatuck Valley,09904,10.059186,684.3288610000001,951878.888055,213890.968451,134505.325832,144449.301764,65063.659145,79385.64261899999,0.6753408187830601,6468.083913052209,95.07659672562019
2016,Northeastern Connecticut,09905,30.676592,5310.223824999999,1920006.275159,177009.74826199998,115023.721458,316071.235776,254085.20897199996,61986.026803999994,1.7856148538676466,8282.70653311163,47.84830495765402
2016,Northwest Hills,09906,23.52008,2610.396351,1856042.477056,377285.977832,230697.30592900002,262527.73848199996,115939.066579,146588.671903,0.6958322172230312,4929.365315891783,44.4143536036532
2016,Lower Connecticut River Valley,09907,8.631642,600.1306850000001,786403.570089,134900.734772,94735.399228,107229.786886,67064.451342,40165.335544,0.7948791907414919,7769.605289700385,111.74974554417258
2016,Eastern Connecticut,09908,23.621136,3504.1009799999997,1044252.983412,59442.265776,40000.121124,29467.133088000002,10024.988436,19442.144652000003,0.49572694955880114,424.4075490696129,2.8609302338085016
2016,Western Connecticut,09909,3.639734,316.029021,164746.498975,29111.645818999998,18449.290689,93831.678508,83169.323378,10662.35513,3.2231663950363068,22850.385049566812,263.1698921663274
2017,Capitol,09901,98.29602,5398.520824,16069091.19487,4077080.357396,2509332.148138,2055956.2146319998,488208.00537399994,1567748.209258,0.5042716930762491,4966.7118299805015,90.43366160663714
2017,South Central Connecticut,09903,10.78068,493.75514400000003,807825.10088,170829.217856,113753.423088,6652.398272,-50423.396496,57075.794768,0.03894180606509374,-4677.2,-102.12227074235807
2017,Naugatuck Valley,09904,10.329507,678.445382,984896.185988,220641.921687,139267.669366,89247.57023099999,7873.317910000002,81374.25232099999,0.4044905408211842,762.2162325849629,11.604939938997184
2017,Northeastern Connecticut,09905,31.754811,5240.7781159999995,1935298.020353,171694.76057599997,111194.733859,51307.855792,-9192.170924999999,60500.026717,0.298831808378269,-289.4733313008854,-1.7539706359512663
2017,Northwest Hills,09906,24.652836999999998,2402.432973,2005839.609679,406685.986769,250985.817427,221068.860859,65368.69151700001,155700.169342,0.5435861279984756,2651.568722780263,27.20937160439148
2017,Lower Connecticut River Valley,09907,9.327991,587.5215860000001,704518.557453,119257.371776,83352.066299,420.657852,-35484.647625,35905.305477,0.0035273111065210936,-3804.1039731920832,-60.39718109182799
2017,Eastern Connecticut,09908,21.132528,2868.879288,955242.0405240001,47870.836908000005,32069.209692,6381.981516,-9419.645700000001,15801.627215999999,0.13331668983070286,-445.74154592389516,-3.283388652635426
2017,Western Connecticut,09909,3.7255320000000003,291.662389,144828.59090399998,25867.533956000003,16396.463483,2026.11977,-7444.950703,9471.070473,0.07832674631630432,-1998.3590807970513,-25.5259196378591
2018,Capitol,09901,99.12307,5218.6129120000005,19675385.681786,5187817.51355,3239816.608554,1415254.455778,-532746.4492179999,1948000.904996,0.27280343845586574,-5374.595936324409,-102.0858335733179
2018,South Central Connecticut,09903,10.78068,536.1591520000001,978952.584216,199550.3868,132133.045064,225017.227808,157599.886072,67417.341736,1.1276211057086258,14618.733333333332,293.94235924932974
2018,Naugatuck Valley,09904,10.528378,704.57285,1174244.283784,268254.527363,170934.70236599998,149030.10509899998,51710.280102,97319.824997,0.5555548551742934,4911.514394904894,73.39238249387554
2018,Northeastern Connecticut,09905,33.525574,5028.089112,1961116.630546,184608.899545,118923.364985,122152.470169,56466.935609,65685.53456,0.6616824566424778,1684.2943720814444,11.230297306035496
2018,Northwest Hills,09906,25.612606,2466.5498850000004,2317553.610839,495344.19050900004,310625.66523600003,162230.268542,-22488.256731,184718.52527299998,0.32751018715955327,-878.0151746760951,-9.117292485248072
2018,Lower Connecticut River Valley,09907,9.226773999999999,646.1953920000001,704004.054506,106721.065685,74091.983315,64.475229,-32564.607141,32629.08237,0.0006041471623822269,-3529.3600061083107,-50.39436607588807
2018,Eastern Connecticut,09908,20.391492,3463.813536,1133996.899848,56716.48248,36910.42422,7319.178732,-12486.879527999998,19806.05826,0.1290485307261601,-612.3573266733007,-3.6049514208030384
2018,Western Connecticut,09909,3.81133,300.002904,114442.18535,17076.891386,10781.045239,4405.224459999999,-1890.621687,6295.846147,0.25796407322772436,-496.0530017080652,-6.302011286530747
2019,Capitol,09901,101.807142,5683.565721999999,22056859.439584,6395233.202098001,4055464.01133,389512.40923000005,-1950256.7815379999,2339769.1907679997,0.06090667797731251,-19156.38474104302,-343.13965509168435
2019,South Central Connecticut,09903,11.499392,514.597792,903296.646824,163236.74428800002,108468.01504,7948.954720000001,-46819.774528,54768.729248,0.04869586657508673,-4071.5,-90.98324022346368
2019,Naugatuck Valley,09904,10.970422,734.368607,1274844.639664,301533.714745,192965.76986499998,34001.051809000004,-74566.893071,108567.94488,0.11276036524722914,-6797.085205199946,-101.53878087955903
2019,Northeastern Connecticut,09905,30.550176,4841.967137,1971232.11609,196778.969295,128052.556847,17460.034219999998,-51266.378228,68726.412448,0.08872916797234004,-1678.1041859791578,-10.587923622249898
2019,Northwest Hills,09906,26.572374999999997,2663.023234,2859895.496769,638329.478985,402181.05894699995,113253.483583,-122894.936455,236148.420038,0.17742167221085103,-4624.913522219976,-46.14865348748963
2019,Lower Connecticut River Valley,09907,7.821906,537.4824169999999,607593.84522,82432.329495,57199.047087,21839.37689,-3393.905518,25233.282408,0.26493703409564184,-433.8975075895824,-6.314449385978706
2019,Eastern Connecticut,09908,16.843248,3304.874136,1130454.68136,53728.52826,34942.420296,9542.02932,-9244.078644,18786.107964,0.17759707233789768,-548.8299313766561,-2.797104598721093
2019,Western Connecticut,09909,2.935241,297.116364,191173.178619,38550.899129000005,24219.220414,85186.22283500001,70854.54412,14331.678715,2.2097078086284756,24139.259474775667,238.47405496655853
2020,Capitol,09901,107.07382199999999,5769.060794,23519540.718243998,6631915.599393999,4369500.046594,2423925.730506,161510.177706,2262415.5528,0.365494055854313,1508.4002297592403,27.995922295354475
2020,South Central Connecticut,09903,11.499392,486.56802400000004,988072.320784,158872.725024,106349.252064,288421.28173600003,235897.80877600002,52523.47296,1.815423520257677,20513.9375,484.8197932053176
2020,Naugatuck Valley,09904,11.184771999999999,737.256288,1392694.058738,318752.68090800004,209914.898344,233554.24414,124716.46157599999,108837.782564,0.732713034678474,11150.55913307844,169.1629676219187
