old_fips_code,old_county_name,new_fips_code,new_region_name,allocation_weight,old_county_total_area_m2,allocated_area_m2,notes
09001,Fairfield,09904,Naugatuck Valley,0.038113,2167945188.89,82627836.01,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09001,Fairfield,09909,Western Connecticut,0.961887,2167945188.89,2085317352.88,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09003,Hartford,09901,Capitol,0.87778,1944087722.4,1706482093.41,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09003,Hartford,09904,Naugatuck Valley,0.035725,1944087722.4,69452890.78,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09003,Hartford,09906,Northwest Hills,0.086494,1944087722.4,168152738.21,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09005,Litchfield,09904,Naugatuck Valley,0.127421,2446473535.95,311732790.91,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09005,Litchfield,09906,Northwest Hills,0.786781,2446473535.95,1924838012.7,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09005,Litchfield,09909,Western Connecticut,0.085798,2446473535.95,209902732.34,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09007,Middlesex,09907,Lower Connecticut River Valley,1.0,1137173043.65,1137173043.65,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09009,New Haven,09901,Capitol,2e-06,2232747846.4,3906.69,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09009,New Haven,09903,South Central Connecticut,0.718712,2232747846.4,1604703219.86,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09009,New Haven,09904,Naugatuck Valley,0.281286,2232747846.4,628040719.84,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09011,New London,09905,Northeastern Connecticut,0.051547,1999374588.94,103060999.75,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09011,New London,09907,Lower Connecticut River Valley,0.101217,1999374588.94,202370568.63,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09011,New London,09908,Eastern Connecticut,0.847236,1999374588.94,1693943020.57,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09013,Tolland,09901,Capitol,0.92851,1080357182.82,1003122749.01,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09013,Tolland,09905,Northeastern Connecticut,0.07149,1080357182.82,77234433.81,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09015,Windham,09905,Northeastern Connecticut,0.9469,1349956508.06,1278273708.56,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
09015,Windham,09908,Eastern Connecticut,0.0531,1349956508.06,71682799.5,"GIS area intersection (TIGER 2021 counties × TIGER 2024 planning regions), projected EPSG:5070, Bridgeport merged into Western CT"
