Commodity Year,Commodity Code,Commodity Name,Commodity Abbrv,State Code,State Name,State Abbrv,County Code,County Name,FIPS,Policies Sold,Policies Earning Prem,Policies Indemnified,Units Earning Prem,Units Indemnified,Quantity,Quantity Type,Companion/Endorsed Acres,Liabilities ($),Total Prem ($),Subsidy ($),Indemnity ($),Earn Prem Rate,Loss Ratio,Title 1 Crop,Farmer Premium,Net Benefit,Benefit by Policy,Benefit by Acre
2014,91,Barley,BARLEY,4,Arizona,AZ,3,Cochise,4003,38,5,0,5,0,1187,Acres,0,270752,6900,5703,0,0.025484,0,Barley,1197,-1197,-239.4,-1.0084246
2014,91,Barley,BARLEY,4,Arizona,AZ,9,Graham,4009,27,11,1,13,3,2307,Acres,0,884200,42586,32201,16776,0.048163,0.393932,Barley,10385,6391,581,2.770264413
2014,91,Barley,BARLEY,4,Arizona,AZ,13,Maricopa,4013,74,20,0,29,0,6105,Acres,0,1361761,76945,51745,0,0.056504,0,Barley,25200,-25200,-1260,-4.127764128
2014,91,Barley,BARLEY,4,Arizona,AZ,21,Pinal,4021,168,33,5,52,5,11240,Acres,0,3577539,145631,105706,85667,0.040707,0.588247,Barley,39925,45742,1386.121212,4.069572954
2014,91,Barley,BARLEY,4,Arizona,AZ,27,Yuma,4027,7,1,0,1,0,480,Acres,0,115969,13441,10349,0,0.115901,0,Barley,3092,-3092,-3092,-6.441666667
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,7,Butte,6007,6,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,11,Colusa,6011,8,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,13,Contra Costa,6013,4,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,19,Fresno,6019,176,12,11,14,12,3025,Acres,0,230953,124566,72942,202210,0.539356,1.623316,Barley,51624,150586,12548.83333,49.78049587
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,21,Glenn,6021,14,2,0,2,0,130,Acres,0,13248,561,561,0,0.042346,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,29,Kern,6029,57,4,2,5,3,3033,Acres,0,71483,30784,26067,62411,0.430647,2.027384,Barley,4717,57694,14423.5,19.02209034
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,31,Kings,6031,50,7,3,15,4,8884,Acres,0,907824,143857,92349,318906,0.158463,2.216826,Barley,51508,267398,38199.71429,30.09882936
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,39,Madera,6039,7,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,47,Merced,6047,36,2,0,2,0,155,Acres,0,20671,1515,1515,0,0.073291,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,49,Modoc,6049,46,15,5,20,8,2359,Acres,0,542456,54612,33551,80950,0.100675,1.482274,Barley,21061,59889,3992.6,25.38745231
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,53,Monterey,6053,11,4,3,4,3,1815,Acres,0,37500,15101,15101,32129,0.402693,2.127607,Barley,0,32129,8032.25,17.70192837
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,65,Riverside,6065,7,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,67,Sacramento,6067,12,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,69,San Benito,6069,6,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,77,San Joaquin,6077,54,1,0,1,0,360,Acres,0,8282,2819,2819,0,0.340376,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,79,San Luis Obispo,6079,26,10,10,23,22,8381,Acres,0,782860,201278,127959,711417,0.257105,3.534499,Barley,73319,638098,63809.8,76.13626059
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,93,Siskiyou,6093,58,20,10,36,23,4167,Acres,0,820728,105089,64723,241021,0.128043,2.293494,Barley,40366,200655,10032.75,48.15334773
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,95,Solano,6095,19,2,0,2,0,1141,Acres,0,142274,19005,15281,0,0.13358,0,Barley,3724,-3724,-1862,-3.263803681
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,99,Stanislaus,6099,4,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,101,Sutter,6101,9,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,103,Tehama,6103,5,1,0,1,0,1202,Acres,0,186419,25118,14820,0,0.134739,0,Barley,10298,-10298,-10298,-8.567387687
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,107,Tulare,6107,22,4,4,11,11,1904,Acres,0,113491,29992,19888,111270,0.264267,3.709989,Barley,10104,101166,25291.5,53.13340336
2014,91,Barley,BARLEY,6,CALIFORNIA,CA,113,Yolo,6113,14,4,1,10,1,1530,Acres,0,102192,8687,7043,11967,0.085006,1.377575,Barley,1644,10323,2580.75,6.747058824
2014,91,Barley,BARLEY,8,Colorado,CO,1,Adams,8001,65,1,1,4,1,73,Acres,0,3266,839,494,687,0.256889,0.818831,Barley,345,342,342,4.684931507
2014,91,Barley,BARLEY,8,Colorado,CO,3,Alamosa,8003,118,62,44,167,84,13490,Acres,0,6501324,554428,306890,974121,0.085279,1.756983,Barley,247538,726583,11719.08065,53.8608599
2014,91,Barley,BARLEY,8,Colorado,CO,5,Arapahoe,8005,16,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,8,Colorado,CO,9,Baca,8009,54,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,8,Colorado,CO,11,Bent,8011,4,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,8,Colorado,CO,17,Cheyenne,8017,42,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,8,Colorado,CO,21,Conejos,8021,50,23,15,53,26,4347,Acres,0,2345437,253035,141989,259211,0.107883,1.024407,Barley,111046,148165,6441.956522,34.08442604
2014,91,Barley,BARLEY,8,Colorado,CO,39,Elbert,8039,5,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,8,Colorado,CO,61,Kiowa,8061,45,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,8,Colorado,CO,63,Kit Carson,8063,63,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,8,Colorado,CO,69,Larimer,8069,57,24,8,55,10,1083,Acres,0,297067,35916,20892,45934,0.120902,1.278928,Barley,15024,30910,1287.916667,28.54108957
2014,91,Barley,BARLEY,8,Colorado,CO,75,Logan,8075,50,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,8,Colorado,CO,87,Morgan,8087,53,1,1,1,1,17,Acres,0,4221,625,369,3850,0.148069,6.16,Barley,256,3594,3594,211.4117647
2014,91,Barley,BARLEY,8,Colorado,CO,95,Phillips,8095,34,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,8,Colorado,CO,99,Prowers,8099,57,3,0,5,0,68,Acres,0,6516,1971,1163,0,0.302486,0,Barley,808,-808,-269.3333333,-11.88235294
2014,91,Barley,BARLEY,8,Colorado,CO,101,Pueblo,8101,4,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
2014,91,Barley,BARLEY,8,Colorado,CO,105,Rio Grande,8105,117,68,29,199,40,16779,Acres,0,9189897,710802,398547,435263,0.077346,0.612354,Barley,312255,123008,1808.941176,7.331068598
2014,91,Barley,BARLEY,8,Colorado,CO,109,Saguache,8109,100,49,25,159,43,13828,Acres,0,6875323,752356,415588,687306,0.109428,0.913538,Barley,336768,350538,7153.836735,25.34986983
2014,91,Barley,BARLEY,8,Colorado,CO,115,Sedgwick,8115,56,0,0,0,0,0,Acres,0,0,0,0,0,0,0,Barley,0,0,0,0
