State,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
CT,697435672,715334947,685510011,653086669,614967955,584718600,721754999,980157323,1115512850,1042876765,892819650,8704175441
ME,321550513,282015650,254898802,234405832,218217647,203630527,277026746,409896690,475481103,421962459,363838898,3462924867
MA,1272977488,1202312621,1189716303,1159027643,1159118509,1131148466,1472070728,2350041332,3135922211,3090708314,2617666701,19780710316
NH,140718624,132497777,120552019,112617204,101469828,92889191,116852942,174557213,200380711,187231231,154254645,1534021385
NY,5200758093,5036156208,4922406430,4737481755,4526970965,4339617966,5118950034,7311543597,8699495581,8278153441,7353983677,65525517747
RI,279843287,282777163,271959596,269949378,259191919,244223564,278985653,378689563,424913309,395199118,343484292,3429216842
VT,130324476,124409407,116470075,112961944,106782062,100248674,117478730,169354925,205688345,196097576,147196800,1527013014
DE,220352805,228935464,220683314,210706049,196899033,178138585,215100949,288020710,323485761,296207465,254854243,2633384378
DC,222604041,224104447,210436410,200333265,188433398,172078913,225271943,381121744,444360725,379372333,319119173,2967236392
MD,1133135874,1149657589,1079151904,987124236,910098604,878649666,1270867930,2146479444,2117227174,1692132703,1498978722,14863503846
NJ,1290688313,1291435885,1223052433,1115682640,1012654300,953558696,1288738288,2169432714,2576443628,1975496233,1925845112,16823028242
PA,2573657445,2699655059,2729024683,2673354132,2592183684,2513696584,3249170462,5170214891,5017489465,4704868606,4268081855,38191396866
VA,1303281631,1230788073,1169412644,1115536652,1051800978,1002380166,1331022987,1901832165,2324190266,2178169078,1765640540,16374055180
WV,476134200,497268953,499059458,481164574,440298715,397899950,518346256,772297950,884685288,755692440,565647589,6288495373
AL,1318133562,1341906577,1254835320,1161155532,1084563290,1032064886,1359495890,1974053519,2161908716,2048985036,1733693703,16470796031
FL,5472834001,5688711691,5216754147,4783367429,5763762595,4035386245,6065175029,8089425782,4975326996,6756576747,6604797454,63452118116
GA,2827853876,2803606880,2663017763,2540245442,2336788286,2115101241,2906208820,4085504054,4093404907,3232508254,3269318111,32873557634
KY,1170989948,1112381122,980976984,943688786,853986982,739297747,997788980,1610391177,1265479724,1121254285,1152314047,11948549782
MS,912985504,916551543,814420697,742934749,679722657,605780127,772290269,1066435430,851232937,849321253,842267063,9053942229
NC,2383571501,2395550386,2248946897,2140406972,1919051873,1863656810,2391518239,3994650815,4737610255,4041086120,2939826574,31055876442
SC,1235696260,1208604782,1222104228,1066150932,943922431,854652751,1101611441,1550266093,1719271318,1544190999,1293584986,13740056221
TN,1951918832,1884708816,1672282240,1586711088,1424890904,1307248122,1774499562,2316136428,1800936365,1799676926,1623231075,19142240358
IL,3202509863,3303102831,3040976772,2930325381,2777948512,2646035880,3381674266,5104129949,5678772072,5440580114,4469341818,41975397458
IN,1311468403,1244188231,1068458926,955393220,867533147,819644875,1091236875,1619482719,1523624552,1302142694,1434111865,13237285507
IA,532085213,516608025,507597206,482469098,446259982,429315218,545552128,727003312,596714651,509140557,528905499,5821650889
MI,2576165148,2369233695,2167714845,2069172718,1894038446,1701430344,2296880243,3246391707,3941434011,3609837867,3061361572,28933660596
MN,670202668,627557916,602563639,601821006,544420005,509464759,959125365,1985655426,1811331171,1440695709,856342155,10609179819
OH,2582757967,2528834777,2396032919,2226190303,2078237006,2020497444,3099962149,3865203855,4299141255,3547971039,3177571738,31822400452
WI,1112980884,1051153941,922851050,877506140,816882114,778373061,1104399935,1964034853,2075620737,1703057958,1363921863,13770782536
AZ,1476761898,1459584642,1402230493,1335235066,1210429898,1146712214,1469174725,2175824745,1912395634,1882264854,2015194104,17485808273
AR,663719268,648769562,577775082,510832029,480472657,460333605,660915016,765794046,509558229,509821832,549666027,6337657353
LA,1288316273,1298445656,1494495292,1440110876,1297321641,1214657938,1576364622,2462801412,2388597365,2354543870,1902467840,18718122785
NM,629160453,685206629,693426783,669640046,638421821,632907856,903755521,1339883626,1486850924,1294851966,1028090754,10002196379
OK,865049765,864950565,885643482,879725084,832653493,819546294,1056260544,1502065758,1807651961,1721306037,1506222914,12741075897
TX,5330650619,5265414124,5308544560,5805152020,5525177455,4767112796,6300171765,8751945285,9882113180,8779163626,7210895950,72926341380
UT,316671764,313810557,301869697,286288642,258536027,234552832,279594698,412957155,426939679,390418394,382660017,3604299462
CO,765737085,771959823,728042703,701946211,668610833,639000457,912978201,1304761706,1473934886,1447682614,1303172697,10717827216
KS,395209994,374432741,342324968,318488850,293539988,265322548,336631296,488517358,558884067,499072350,408410165,4280834325
MO,1236444630,1258535557,1182957874,1116216424,1061334229,996212141,1324976208,1734889161,1298301743,1518865893,1512570795,14241304655
MT,176169543,171413823,166365465,172035838,158389738,146944184,192530803,228795841,155175590,167544091,169446871,1904811787
NE,238904358,242092503,240677417,241772391,229206174,221960791,254347798,356554249,265904110,313771156,331710248,2936901195
ND,75765024,77912538,78700888,77842534,75391175,68485818,84360845,113160074,90503186,98270022,111448901,951841005
SD,148938276,148866948,144590242,140613366,131112641,121995672,143860091,177819200,143211449,164655530,180195817,1645859232
WY,49272569,46448470,48510210,46791729,40676283,36277115,45870674,73313685,67165451,67151556,56701860,578179602
AK,174241813,168054411,175483424,191442132,187357117,171091672,198298992,288045258,348717900,246443959,250803206,2399979884
CA,7411483685,7528039778,7237700086,6732719405,6332717643,5977281299,7818586485,11243441465,14424776610,14387169754,12377175489,1.01471E+11
HI,525397960,505466329,484225008,479722381,469433045,448431408,563931492,944131080,900720734,842405853,731331421,6895196711
ID,295662973,273758132,255423930,233881652,199514037,192918233,241192232,258375969,220405707,249422713,281230283,2701785861
NV,536711313,605592527,629519652,625062614,614241940,587953503,806791228,1085383815,1281156203,1155507853,1006689627,8934610275
OR,1161871005,1152976715,1072982185,1009209337,937798988,884189650,1170543331,1847403478,2094359050,1829707953,1596585242,14757626934
WA,1547545882,1527741099,1452893518,1363774904,1268734555,1192380309,1598425639,2359661930,2527621418,2282766083,1920375025,19041920362
Total,69835302242,69479523585,66376250674,63549474300,60722167205,55477097393,73988620044,1.07718E+11,1.13742E+11,1.06744E+11,93655046673,8.81287E+11
Total (w/o DC),69612698201,69255419138,66165814264,63349141035,60533733807,55305018480,73763348101,1.07337E+11,1.13298E+11,1.06365E+11,93335927500,8.7832E+11
