State,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Avg.
CT,438558.8333,442161.25,431597.4167,410344.4167,387328.8333,340446.5,372304.8333,371632.25,375361,392515.4167,391204.3333,395768.6439
ME,230535.5833,202578.8333,189245.1667,179734.1667,167857.6667,144432.6667,159995.3333,158096.5833,162158.9167,167767.8333,172232.0833,175875.8939
MA,863411.9167,785778.0833,779191.6667,766115.5833,770565.5,703516.1667,821254.1667,929028.8333,1024441.833,1084038.667,1113677.833,876456.3864
NH,111701.3333,106296.3333,98464.4167,92456.5833,86501.6667,70411.8333,72504.5,69116.3333,69343.0833,74617.3333,76908.5833,84392.90907
NY,3122878.833,3039108.167,2968227.333,2910894,2796620.167,2661700.333,2658439.167,2780713.833,2839326.333,2886162.5,2926213.333,2871844
RI,178517.8333,175024.6667,171055.25,164410.4167,158986.1667,141232.4167,146183.1667,142148.5,139361.5833,142962.5,144295,154925.2273
VT,92999.6667,84993.6667,79715.4167,76558.3333,73057.5833,68276.8333,68568.3333,67789.5833,69483.0833,70685.1667,66493.25,74420.08333
DE,150232.3333,149980.5,147558.9167,146805.4167,140297.5,119786.75,120416.3333,115483.5,118841.5,121174.3333,117675.9167,131659.3636
DC,142706.9167,141845.0833,134625.4167,119103.5833,112282.0833,101230.0833,116405.8333,140115.3333,145804.6667,138570.0833,137451.75,130012.803
MD,787597.25,781034.5833,744342.8333,684281.9167,646483.25,570443.6667,700978.8333,823501.25,772731.1667,671132,693496.4167,716002.1061
NJ,883434.4167,905727.6667,879987,817979.25,760303.1667,649127.5,700537.5,825664.1667,857303.8333,779349.4167,827227.0833,807876.4546
PA,1796154.333,1826666.833,1863835.75,1842945.083,1818588.833,1627639.667,1794613,1766450,1845635.5,1927477.833,2000018,1828184.076
VA,918902.0833,860374.75,826353.5833,775548.0833,736220.9167,654882.25,730370.0833,750784.6667,794646.0833,842819,827773.9167,792606.8561
WV,362500.8333,367908.25,357530.6667,340307.6667,321008.8333,282662.25,306217.5,302443.8333,310878.75,307242.3333,277429.0833,321466.3636
AL,902073.1667,889380.0833,850804.0833,804336,766680.5833,667042.9167,730708.0833,769605.5833,761073.5833,776479.0833,752160.75,788213.0833
FL,3526311.25,3656169.417,3454529.667,3186536.833,3347518.333,2649741.333,3177286,3342501.167,2847085.667,3089910.75,2975789.083,3204852.682
GA,1942688.917,1800530.917,1733473.083,1625414.75,1556452.417,1332536.167,1565934.917,1640617.25,1608202.75,1543122.417,1411356.917,1614575.5
KY,828075.8333,768881.8333,666264.4167,654873.25,615305.3333,502241.0833,555425.3333,597747,541623.3333,554221.0833,595219.9167,625443.4924
MS,656871.3333,636322.25,582658.3333,537369.8333,505308.3333,420872.8333,429567.8333,418450.6667,413650.75,399186.3333,384804.5,489551.1818
NC,1575675.75,1646202.25,1568386.583,1453826.833,1344484.5,1228423.667,1317566.083,1541660.667,1599929.5,1594275.167,1415606.75,1480548.886
SC,834511,804571.75,805012.25,719977.3333,658119.0833,558721.5,596161,608106.5,618977.9167,619480,581592.9167,673202.8409
TN,1312505.333,1229390.667,1113230.917,1047057.583,970875,832129.9167,868935.75,881346.8333,825339.9167,767843.4167,711177.6667,959984.8182
IL,2015303.167,2042305.5,1914393.333,1878519,1826010.917,1639396.333,1865896,2054052.917,1981713.667,2031384.5,1935645.083,1925874.583
IN,892698.5833,831740.4167,741610,671985.6667,617032.4167,530384.1667,601417.4167,645754.4167,617629.9167,598746.5,610689.1667,669062.6061
IA,408069.75,391223.75,380705.0833,365892.5,345406.0833,295681.6667,310564.1667,286050.4167,278826.75,262612.9167,259322.8333,325850.5379
MI,1679420.667,1571344.333,1473614.25,1375434.167,1281861.5,1181972.25,1254475.25,1278212.583,1351310.083,1430173.75,1474426.917,1395658.705
MN,533743.3333,496023.1667,478782.6667,453563.5833,428986,381778.5833,409274.5,452651.5833,435909.9167,460568.0833,453859.6667,453194.6439
OH,1752135.167,1676263,1608632.833,1501795.25,1421365.583,1273256.75,1396860.083,1509437.667,1491293.667,1418004.917,1386865.167,1494173.644
WI,841532.8333,805540.4167,728076.5,691634.6667,652884.5833,572323.25,647376.4167,762395.0833,708237.6667,707321.3333,705421.4167,711158.5606
AZ,1044310.083,999401,960104.6667,918727.6667,845732.5,736882.5833,833448.3333,879123.0833,825666.25,898016.0833,923399.6667,896801.0833
AR,491964.6667,468904,426068.5,388362.0833,372451.1667,354916.75,371265.4167,346176.4167,280389.8333,249708.75,240122.0833,362757.2424
LA,877340.1667,859737.5833,927168.0833,928961.9167,867341.5833,749560.3333,830750.0833,924724,822648.6667,896550.6667,847132.5,866537.7803
NM,431493.5,453146.4167,471246.75,460533.8333,456250.5833,415160.9167,468745.0833,520494.1667,518799.1667,488363.5,451243.4167,466861.5758
OK,608492.3333,598257.1667,612869.3333,603896.1667,585064,531727.8333,596705.3333,619148.8333,650639.6667,681521.75,686807.75,615920.9242
