State Name,State FIPS,County Name,County FIPS,FIPS,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2014-2025 Average
Alabama,1,Autauga,1,1001,,,,,,2177.86,2126.38,3617.22,10151.88,8837,8860.74,7470.48,6177.365714
Alabama,1,Baldwin,3,1003,,,,,,0,253.43,9237.79,8791.99,9007.2,8553.92,8116.54,6280.124286
Alabama,1,Barbour,5,1005,,,,,,1546.88,1537.24,1563.93,5851.29,5365.99,4847.5,4991.91,3672.105714
Alabama,1,Bibb,7,1007,,,,,,0,0,0,0,0,0,0,0
Alabama,1,Blount,9,1009,,,,,,1117.85941,1180.99,1700.8,2062.14,1944.62,2128.52,2070.54,1743.638487
Alabama,1,Bullock,11,1011,,,,,,114.45,68.39,197.93,1223.71,1229.01,551.1,457.13,548.8171429
Alabama,1,Butler,13,1013,,,,,,792.42,788.88,310.07,866.75,866.75,866.75,847.56,762.74
Alabama,1,Calhoun,15,1015,,,,,,2028.57,1944.75,0,6602.71,6546.38,6571,6173.4,4266.687143
Alabama,1,Chambers,17,1017,,,,,,0,0,0,0,0,0,0,0
Alabama,1,Cherokee,19,1019,,,,,,179.87,179.87,1237.1,9844.66,9520.06,21348,18025.76,8619.331429
Alabama,1,Chilton,21,1021,,,,,,0,0,0,112.71,853.65,905.31,957.79,404.2085714
Alabama,1,Choctaw,23,1023,,,,,,0,0,0,0,0,0,0,0
Alabama,1,Clarke,25,1025,,,,,,0,0,0,0,0,0,0,0
Alabama,1,Clay,27,1027,,,,,,0,0,0,0,0,0,0,0
Alabama,1,Cleburne,29,1029,,,,,,0,0,0,0,0,0,0,0
Alabama,1,Coffee,31,1031,,,,,,3119.44,3078.76,2687.5,2779.94,2720.12,2702.78,2777.41,2837.992857
Alabama,1,Colbert,33,1033,,,,,,2360.4,2427.52,3940.09,10584.02,22709.33,24824.94,8311.25,10736.79286
Alabama,1,Conecuh,35,1035,,,,,,64.59,208.79,94.87,0,225.11,356.65,807.84,251.1214286
Alabama,1,Coosa,37,1037,,,,,,0,0,0,0,0,0,0,0
Alabama,1,Covington,39,1039,,,,,,855.57,838.56,821.89,818.92,815.07,760.65,687.95,799.8014286
Alabama,1,Crenshaw,41,1041,,,,,,437.06,533.44,184.81,1230.87,1171.76,1231.72,1188.28,853.9914286
Alabama,1,Cullman,43,1043,,,,,,3821.29,3806.16,3841.91,3657.93,4176.44,4232.6,4608.61,4020.705714
Alabama,1,Dale,45,1045,,,,,,996.45,1028.38,991.62,1125.07,1157.07,1155.27,1146.55,1085.772857
Alabama,1,Dallas,47,1047,,,,,,4477.68,4923.1,6169.29,12403.01,11698.62,9197.84,8756.1,8232.234286
Alabama,1,DeKalb,49,1049,,,,,,9438.51,9398.91,9177.13,11440.55,16537.13,15797.37,14167.21,12279.54429
Alabama,1,Elmore,51,1051,,,,,,1614.73,1586.25,2989.22,5464.92,10199.2,8337.6,10033.76,5746.525714
Alabama,1,Escambia,53,1053,,,,,,2290.07,2125.73,2173.66,2291.38,2281.13,2279.91,2214.09,2236.567143
