State Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2014-2023 Average
Alabama,385897.46,385897.46,385897.46,385897.46,385897.46,154320.8189,157581.1028,206019.15,340786.7238,405718.702,319391.3797
Arizona,9332.49,9332.49,9332.49,9332.49,9332.49,735.1,573.16,271.43,303.73,303.13,4884.9
Arkansas,3080251.46,3080251.46,3080251.46,3080251.46,3080251.46,2331931.894,2322260.433,2385860.27,2491012.333,2542469.46,2747479.169
California,637760.6,637760.6,637760.6,637760.6,637760.6,190627.79,184921.85,158434.49,178366.23,166049.1,406720.246
Colorado,2004013.75,2004013.75,2004013.75,2004013.75,2004013.75,438689.4903,441759.9139,1114171.034,1913977.143,2203131.222,1613179.755
Connecticut,16424.6,16424.6,16424.6,16424.6,16424.6,10892.44,10742.57,11856.69,11856.62,11981.26,13945.258
Delaware,310318.92,310318.92,310318.92,310318.92,310318.92,143857.29,136321.4705,244247.183,252139.0306,253840.0791,258199.9653
Florida,85685.56,85685.56,85685.56,85685.56,85685.56,45326.79,45165.83,46396.4,41536.89,55786.07,66263.978
Georgia,847429.24,847429.24,847429.24,847429.24,847429.24,249701.3662,250368.9213,243946.4605,357592.1825,370471.9504,570922.7081
Idaho,843181.59,843181.59,843181.59,843181.59,843181.59,75714.64,80777.39,80920.79,441574.5337,642168.1875,553706.3491
Illinois,20541291.7,20541291.7,20541291.7,20541291.7,20541291.7,8060190.376,8042468.407,10564361.6,11332597.77,11693446.27,15239952.29
Indiana,10687340.82,10687340.82,10687340.82,10687340.82,10687340.82,4261607.86,4221442.935,5737462.138,6109105.938,6229711.806,7999603.478
Iowa,21949514.74,21949514.74,21949514.74,21949514.74,21949514.74,7220619.36,7254499.426,15953675,18055009.99,18523671.71,17675504.92
Kansas,15841926.48,15841926.48,15841926.48,15841926.48,15841926.48,3896465.07,3916379.988,7766521.399,12362993.05,14706993.54,12185898.54
