State Name,County Name,County FIPS,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Average,
Alabama,Autauga,1001,9,45,44,38,33,39,31,0,0,4,88,30.09090909,
Alabama,Baldwin,1003,111,94,83,70,7,3,0,0,0,3,369,67.27272727,
Alabama,Barbour,1005,129,12,18,16,17,15,10,1,0,13,157,35.27272727,
Alabama,Bibb,1007,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Blount,1009,8,47,57,4,34,39,1,0,0,0,117,27.90909091,
Alabama,Bullock,1011,8,1,1,0,1,0,0,0,0,0,0,1,
Alabama,Butler,1013,18,8,10,13,8,8,7,0,0,0,21,8.454545455,
Alabama,Calhoun,1015,0,51,44,36,7,40,0,0,0,0,159,30.63636364,
Alabama,Chambers,1017,1,2,2,2,1,1,0,0,0,0,5,1.272727273,
Alabama,Cherokee,1019,4,203,206,40,18,9,0,0,0,0,718,108.9090909,
Alabama,Chilton,1021,2,3,3,3,2,2,3,0,0,0,15,3,
Alabama,Choctaw,1023,0,2,3,2,0,0,0,0,0,0,0,0.636363636,
Alabama,Clarke,1025,4,28,23,22,0,0,0,0,0,0,0,7,
Alabama,Clay,1027,0,2,1,1,0,1,0,0,0,0,2,0.636363636,
Alabama,Cleburne,1029,0,9,7,8,5,2,0,0,0,0,1,2.909090909,
Alabama,Coffee,1031,259,61,53,43,44,55,32,0,0,30,151,66.18181818,
Alabama,Colbert,1033,9,230,186,29,129,93,3,0,0,0,553,112,
Alabama,Conecuh,1035,16,23,21,8,7,6,1,0,0,0,2,7.636363636,
Alabama,Coosa,1037,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Covington,1039,104,20,28,21,15,27,21,0,0,1,63,27.27272727,
Alabama,Crenshaw,1041,50,23,17,19,19,11,4,0,0,3,45,17.36363636,
Alabama,Cullman,1043,0,7,31,18,19,44,0,0,0,39,178,30.54545455,
Alabama,Dale,1045,94,106,118,70,49,30,18,0,0,0,65,50,
Alabama,Dallas,1047,42,93,121,113,27,44,5,0,2,46,118,55.54545455,
Alabama,DeKalb,1049,1,169,155,78,57,110,1,3,0,0,630,109.4545455,
Alabama,Elmore,1051,22,31,31,10,7,29,0,0,2,0,106,21.63636364,
Alabama,Escambia,1053,90,48,22,24,2,20,11,0,0,18,55,26.36363636,
Alabama,Etowah,1055,1,63,60,3,3,50,0,0,0,0,118,27.09090909,
Alabama,Fayette,1057,3,32,33,31,25,7,1,0,0,10,119,23.72727273,
Alabama,Franklin,1059,2,26,26,23,16,20,0,0,0,0,75,17.09090909,
Alabama,Geneva,1061,318,209,206,104,207,208,121,0,2,165,435,179.5454545,
Alabama,Greene,1063,0,3,4,2,2,1,0,0,0,0,2,1.272727273,
Alabama,Hale,1065,0,0,1,0,1,3,0,0,0,0,0,0.454545455,
Alabama,Henry,1067,189,45,36,34,42,39,33,31,0,0,119,51.63636364,
Alabama,Houston,1069,338,60,75,67,83,56,47,0,41,46,143,86.90909091,
Alabama,Jackson,1071,2,385,368,169,56,213,23,0,0,0,851,187.9090909,
Alabama,Jefferson,1073,0,0,0,0,0,0,0,0,0,0,0,0,
