State Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,14-23 Average
Alabama,5182776.17,13083741,21442343.95,2420151.14,1315735,3571996.88,660270,10262,14699,672281.75,4837425.689
Alaska,0,0,0,0,0,0,0,0,0,0,0
Arizona,8913,123186,90017,8064,28212,59921,12396,8,0,0,33071.7
Arkansas,17169347.75,78323530.26,80095167.28,20573095.26,12007835.76,18521618.46,2282366.39,18280,569263,943432.09,23050393.63
California,11368905.62,14441768.23,30702085.37,6757568.48,2848366,2715169,110643,105306,110747,78468,6923902.67
Colorado,54959701.69,61699458.98,45820356.05,9181141.7,17728520.08,5071588.17,4007933.54,1583228,13432665.63,7259579.89,22074417.37
Connecticut,627268.44,566376,388429,16398,86957,0,7847,0,44,123,169344.244
Delaware,4997,7435861.32,10189550.83,52114,5930492,1538833,742,0,0,0,2515259.015
Florida,1204433,1878096,1970752,553875,563846.26,421071,182353,95845,15913,241122.23,712730.649
Georgia,24100377.72,31052684.85,35945987.29,8744762,15655139.13,3159853.3,519906.5,22247,603832,370803,12017559.28
Guam,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0
Idaho,11047547,27349613.65,23818039.29,19328808.16,2102635,859640,34602,826037.54,743481.01,474212,8658461.565
Illinois,235958588.9,920432665.5,353062443,39676641.62,4971275,150406485,679297,0,0,46771,170523416.7
Indiana,153662717.8,537528514.9,284615403.9,49089253.27,3817196.78,96567410.59,1268018.99,36684,0,4467,112658966.7
Iowa,910165346.3,659401627.9,215097296.8,30054299.22,38580755.25,43010907.62,6315872,6509,1542,8307099.56,191094125.6
Kansas,302941039.7,255643983.7,216523977.1,146244376.3,123939574.6,29152588.38,7243772.19,2053338,83497292.21,198863186.9,136610312.9
Kentucky,54145544.35,56508549.75,83695946.88,9081312.45,7441001.24,19684484,449244.74,17879.12,291303,5564,23132082.95
Louisiana,14767076.42,76163005.58,58528921.69,6963724.58,8903760,12619149.96,489207.31,88476,683026,8117275.32,18732362.29
Maine,1654770.3,1937679,1753381,1423188,25716,16818,292766,132,0,11053,711550.33
Maryland,2125191.66,18209769.36,27611579.64,1739290.13,8430170.47,7794118.63,92498,0,0,918664.47,6692128.236
Massachusetts,875526.57,896907,820879.69,146512,966,0,0,0,0,17880,275867.126
Michigan,150736999.4,150633798.2,146844797.7,59393072.83,12189506,34717879.95,965311.48,18871,35723,83188,55561914.75
Minnesota,680503266.4,395061615.5,204103003.5,29234301.8,52602096.59,184507928.9,2964721,7964045.41,0,12355786.74,156929676.6
Mississippi,4075257.1,96244422.1,65765129.31,5646165.14,5740344.52,14813226,222596,116174,184999,1374858.05,19418317.12
Missouri,7918356.48,176702262,84670468,7518212.45,62419617.78,31963235.52,1051354,52367,4742760.7,12527157.53,38956579.15
Montana,5575796.54,21077945.02,21831231.03,23103373.76,9747382.98,1545929,475477,8825143,16592409.73,1213438,10998812.61
Nebraska,628051824.2,646031202.3,569152293.4,66952427.5,16180516.54,5497751.82,1392511,1489328.31,17685759.33,58300650.36,201073426.5
Nevada,90485,106124,298517,54790,51952,0,0,0,0,6936,60880.4
New Hampshire,572719,509144,535543,197487,30659,1101,57224,0,0,0,190387.7
New Jersey,1253006,4576184.54,4508461.22,34368,1191866.78,1243720.37,0,23,295052,4207,1310688.891
New Mexico,5408820.75,6681924.89,5268066.78,3743701,791498.59,1044562.14,793071.99,399162,592535.73,3156479.12,2787982.299
New York,45896639.07,56190668.48,45881937.51,6564317.14,759301,827312,56958.91,3435,13053,28185,15622180.71
North Carolina,17459093.04,86145989.87,62681580.74,9965643.27,28464482.4,32231628.85,4766104.87,68162,528347.47,300100.79,24261113.33
North Dakota,140630019.6,332585206.1,187603274.2,150907424.8,27107878.58,73193168.5,5368562,39384737.04,211470,670985.2,95766272.61
Ohio,239935945.2,389714561.7,270385598.3,56922571.64,2741216.54,56476564.24,2355188.86,3697,1581,4362,101854128.6
Oklahoma,63888484.47,55619338.2,34127036.85,26077900.2,51299369.82,5373686.58,2186565,1047244,31672334.9,55968221.59,32726018.16
Oregon,18634061,29517622.69,25796904.77,8905181.93,1500484,348990,672519,699641.93,338483,3295301.56,8970918.988
Pennsylvania,15347809.1,28664758.17,37222713.96,2805441.24,7202969,2310669,3940750.23,1041,37435,23660.54,9755724.724
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0
