State Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Average
Alabama,0,1,0,0,0,0,0,0,0,0,0.1
Alaska,0,2,2,0,2,0,2,0,0,0,0.8
Arizona,1,1,1,1,1,0,0,0,0,0,0.5
Arkansas,4,1,1,2,0,10,4,0,1,2,2.5
California,17,6,51,2,0,1,1,6,21,0,10.5
Colorado,108,107,113,83,65,57,41,57,145,158,93.4
Connecticut,8,5,4,3,1,0,1,0,0,1,2.3
Delaware,0,0,1,0,0,0,0,0,0,0,0.1
Florida,0,0,0,0,0,0,0,0,0,0,0
Georgia,1,1,1,1,0,0,0,0,0,0,0.4
Guam,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0
Idaho,192,193,102,178,54,7,2,3,2,3,73.6
Illinois,66,183,98,58,62,6025,823,145,118,142,772
Indiana,6,37,29,11,19,2980,302,32,28,19,346.3
Iowa,215,201,121,92,85,1971,373,31,26,44,315.9
Kansas,178,212,160,145,117,361,80,8,71,55,138.7
Kentucky,2,1,2,1,0,156,15,6,0,1,18.4
Louisiana,4,3,6,6,0,12,9,14,0,0,5.4
Maine,0,0,0,0,0,0,0,0,0,0,0
Maryland,3,4,3,3,4,1,1,0,0,0,1.9
Massachusetts,0,0,0,0,0,0,0,0,0,0,0
Michigan,99,104,99,81,48,1493,341,8,41,24,233.8
Minnesota,150,116,88,80,52,2880,216,52,49,63,374.6
Mississippi,2,6,6,2,4,99,41,7,8,5,18
Missouri,65,169,101,88,80,2280,420,107,43,61,341.4
Montana,523,703,654,767,333,25,14,32,90,31,317.2
Nebraska,237,269,259,166,70,1055,252,37,146,143,263.4
Nevada,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0
New Jersey,2,3,2,2,2,5,1,0,2,1,2
New Mexico,0,0,0,0,0,1,1,0,0,1,0.3
New York,3,3,3,0,0,292,51,3,4,6,36.5
North Carolina,13,13,15,7,10,3,0,0,0,0,6.1
North Dakota,307,324,293,340,155,690,315,89,44,33,259
Ohio,44,86,81,53,26,5013,656,20,13,9,600.1
Oklahoma,39,30,27,26,36,10,9,3,2,14,19.6
Oregon,309,352,347,137,60,5,1,18,0,68,129.7
Pennsylvania,2,4,6,3,3,39,10,0,0,1,6.8
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0
South Carolina,1,2,0,0,0,0,0,0,0,0,0.3
South Dakota,132,111,134,147,100,6635,845,237,482,207,903
Tennessee,5,21,19,7,16,24,7,0,1,0,10
Texas,15,10,16,10,11,121,28,7,30,15,26.3
Utah,0,0,0,0,0,0,0,0,0,0,0
Vermont,2,3,3,2,0,2,0,0,0,0,1.2
Virgin Islands of the U.S.,0,0,0,0,0,0,0,0,0,0,0
Virginia,31,26,33,34,5,12,4,1,2,1,14.9
Washington,378,379,319,236,30,4,0,2,5,18,137.1
West Virginia,5,6,6,5,4,1,0,0,0,0,2.7
Wisconsin,13,13,5,4,1,931,140,5,2,4,111.8
Wyoming,5,20,21,12,11,9,1,0,0,0,7.9
,3187,3731,3232,2795,1467,33210,5007,930,1376,1130,5606.5
