State Name,2014,2015,2016,2017,2018,2019,2020,2021,14-21 Average
Alabama,0,9673,0,0,0,0,0,0,1209.125
Alaska,0,1694,2712,0,8314,0,7782,0,2562.75
Arizona,17470,15772,24975,7144,2487,0,0,0,8481
Arkansas,2462,364,353,390,0,95706,62774,0,20256.125
California,190299,73800,1310186,20010,0,44393,43296,0,210248
Colorado,1097663,988753,1194357.34,609888,308936,898472,429614,551091,759846.7925
Connecticut,29134,51956,28355,12750,8661,0,1400,0,16532
Delaware,0,0,8415,0,0,0,0,0,1051.875
Florida,0,0,0,0,0,0,0,0,0
Georgia,470,970,882,429,0,0,0,0,343.875
Hawaii,0,0,0,0,0,0,0,0,0
Idaho,2011537,1842639,941534,1539590,581843,46854,13059,16572,874203.5
Illinois,404395,1027537,420289,157722,146165,58654459,2572385,277293,7957530.625
Indiana,16294,174903,97297,26468,35081,23278297,751309,133652,3064162.625
Iowa,1589167,1378694,436670,245550,327151,17740759,1868247,46569,2954100.875
Kansas,1596481,1407615,1259837,813700,533110,2524524,286210,17045,1054815.25
Kentucky,11141,1364,3101,3048,0,1236012,179195,6507,180046
Louisiana,10709,37861,42445,34575,0,85965,299312,49310,70022.125
Maine,0,0,0,0,0,0,0,0,0
Maryland,7271,22361,19058,12138,14393,415,2795,0,9803.875
Massachusetts,0,0,0,0,0,0,0,0,0
Michigan,796609,912301,781919,473636,178416,10098819,722014,8497,1746526.375
Minnesota,2622223,1781452.55,1778054,743633,544686,36996881,1266926,213484,5743417.444
Mississippi,4186,43843,49824,2960,61231,815967,365344,24508,170982.875
Missouri,290556,923485.17,359358,220180,318821,16886261,1865626,340637,2650615.521
Montana,6082426.65,9491117.74,7570970.6,9338977.83,3684712.99,305934,52700,511235,4629759.351
Nebraska,1547803,1817008.39,1678303,810071,310471,10069610.08,1843169,178283,2281839.809
Nevada,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0
New Jersey,6411,17641,41883,45711,7212,15723,686,0,16908.375
New Mexico,0,0,0,0,0,56514,94964,0,18934.75
New York,115120,68366,60249,0,0,1336015.25,112949,3119,211977.2813
North Carolina,205426,293336,226388,146613,72214,134104,0,0,134760.125
North Dakota,3783361,3496175.58,2605738,2850699,896348,11864038.4,5453989.87,641029,3948922.356
Ohio,248856,434142,418637.05,208124,52631,38942905.69,1694280,21077,5252581.593
Oklahoma,202339,204239,208900,190897,301321,130414,67339,130051,179437.5
Oregon,2534808,3262106,3146983,872143,559744,8977,7790,141777,1316791
Pennsylvania,10479,11544,33077,13825,14976,120889,12581,0,27171.375
Rhode Island,0,0,0,0,0,0,0,0,0
South Carolina,4005,18998,0,0,0,0,0,0,2875.375
South Dakota,1057719,996695,1172148,1379372,770367,81772849.28,4735732.23,1100420,11623162.81
Tennessee,35322,59859,89383,13075,57195,133534,42058,0,53803.25
Texas,128572,55777,277852,198158,215219,4945789.5,998794,17909,854758.8125
Utah,0,0,0,0,0,0,0,0,0
Vermont,2491,15045,10497,1395,0,988,0,0,3802
Virginia,130880,71514,123941,125409,10208,58427,5232,238,65731.125
Washington,4043566,4191781,2773591.87,1274003,119133,8376,0,8547,1552374.734
West Virginia,11795,20923,26108,6408,11779,3945,0,0,10119.75
Wisconsin,193022,128163,17873,24658,5848,3834137.2,224972.09,2196,553858.6613
Wyoming,18915,68506,76698,26953,42196,55944,122,0,36166.75
,31061383.65,35419974.43,29318841.86,22450302.83,10200869.99,323202898.4,26084646.19,4441046,60272495.42
