State Name,County Name,FIPS,Program,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Alabama,Autauga,1001,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Baldwin,1003,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Barbour,1005,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Bibb,1007,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Blount,1009,Dairy,0,0,2445,0,12787,11600.44,0,15573.64,0,0,0,0
Alabama,Bullock,1011,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Butler,1013,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Calhoun,1015,Dairy,0,0,0,0,9118,4674.36,0,0,0,0,0,0
Alabama,Chambers,1017,Dairy,0,0,0,0,3720,3374.77,5078.37,16196.6,453.27,16827.38,0,0
Alabama,Cherokee,1019,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Chilton,1021,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Choctaw,1023,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Clarke,1025,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Clay,1027,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Cleburne,1029,Dairy,0,0,0,0,8723,7914.62,0,37984.61,0,0,0,0
Alabama,Coffee,1031,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Colbert,1033,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Conecuh,1035,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Coosa,1037,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Covington,1039,Dairy,0,0,0,0,27794,0,0,0,0,0,0,0
Alabama,Crenshaw,1041,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Cullman,1043,Dairy,0,0,2556,0,34713,41929.29,10271.28,152086.09,6591.06,40370.65,1140.16,0
Alabama,Dale,1045,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Dallas,1047,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,DeKalb,1049,Dairy,0,0,0,0,17602,14484.18,0,0,0,0,0,0
Alabama,Elmore,1051,Dairy,0,0,0,0,0,1050.45,1580.7,5729.53,421.78,5824.42,198.05,0
Alabama,Escambia,1053,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Etowah,1055,Dairy,0,0,0,0,6481,5876.81,8843.41,28204.55,799.87,29302.89,0,0
Alabama,Fayette,1057,Dairy,0,0,0,0,26546,5240.88,5475.26,17643.3,1307.76,18330.43,614.08,0
Alabama,Franklin,1059,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Geneva,1061,Dairy,0,0,0,0,13580,12317.14,5764.1,59113.59,4381.62,64142.9,2057.45,0
Alabama,Greene,1063,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Hale,1065,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Henry,1067,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Houston,1069,Dairy,0,0,0,0,57153,0,0,0,0,0,8487,0
Alabama,Jackson,1071,Dairy,0,0,0,0,21145,0,0,0,0,0,0,0
Alabama,Jefferson,1073,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Lamar,1075,Dairy,0,0,0,0,20653,18736.83,0,89923.57,0,14113.04,0,0
Alabama,Lauderdale,1077,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Lawrence,1079,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Lee,1081,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Limestone,1083,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Lowndes,1085,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Macon,1087,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Madison,1089,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Marengo,1091,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Marion,1093,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Marshall,1095,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Mobile,1097,Dairy,0,0,0,0,24133,21894.45,0,105077.86,7788.55,107553.94,3657.25,0
Alabama,Monroe,1099,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Montgomery,1101,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Morgan,1103,Dairy,0,0,0,0,59383,50808.28,0,0,0,0,0,0
Alabama,Perry,1105,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Pickens,1107,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Pike,1109,Dairy,0,0,0,0,6993,6338.51,0,0,0,0,0,0
Alabama,Randolph,1111,Dairy,0,0,0,0,21125,19164.17,0,91974.39,6817.32,99799.5,3201.17,0
Alabama,Russell,1113,Dairy,0,0,0,0,1829,333.81,1455.97,9446.38,0,9991.01,0,0
Alabama,St. Clair,1115,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Shelby,1117,Dairy,0,0,0,0,0,4919.85,0,23611.89,0,0,0,0
Alabama,Sumter,1119,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Talladega,1121,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Tallapoosa,1123,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Tuscaloosa,1125,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Walker,1127,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Washington,1129,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Wilcox,1131,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Winston,1133,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Aleutians East,2013,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Aleutians West,2016,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Anchorage,2020,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Bethel,2050,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Bristol Bay,2060,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Denali,2068,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Dillingham,2070,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Fairbanks North Star,2090,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Haines,2100,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Juneau,2110,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Kenai Peninsula,2122,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Ketchikan Gateway,2130,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Kodiak Island,2150,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Lake and Peninsula,2164,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Matanuska-Susitna,2170,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Nome,2180,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,North Slope,2185,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Northwest Arctic,2188,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Prince of Wales-Outer Ketchikan,2201,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Sitka,2220,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Skagway-Hoonah-Angoon,2232,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Southeast Fairbanks,2240,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Valdez-Cordova,2261,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Wade Hampton,2270,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Wrangell-Petersburg,2280,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Yakutat,2282,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Yukon-Koyukuk,2290,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Apache,4001,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Cochise,4003,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Coconino,4005,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Gila,4007,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Graham,4009,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Greenlee,4011,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,La Paz,4012,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Maricopa,4013,Dairy,0,0,0,0,236448,1009065.92,688187.46,3779583.9,236501.2,5071958.62,12630.5,0
Arizona,Mohave,4015,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Navajo,4017,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Pima,4019,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Pinal,4021,Dairy,0,0,0,0,0,616385.33,180691.86,2428991.7,121725.72,2128372.22,63652.5,0
Arizona,Santa Cruz,4023,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Yavapai,4025,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Yuma,4027,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Arkansas,5001,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Ashley,5003,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Baxter,5005,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Benton,5007,Dairy,0,0,0,0,141107,118461.56,152577.34,532299.56,19364.42,312365.12,6551.62,0
Arkansas,Boone,5009,Dairy,0,0,193,0,0,0,0,0,0,0,0,0
Arkansas,Bradley,5011,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Calhoun,5013,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Carroll,5015,Dairy,0,0,0,0,6262,5681.19,8549.06,26241.96,0,0,0,0
Arkansas,Chicot,5017,Dairy,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Clark,5019,Dairy,24601.42,0,0,0,15277,13854.88,20848.76,66493.55,4928.63,72150.74,2314.31,0
