State Name,State FIPS,County Name,County FIPS,FIPS,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2014-2025 Average
Alabama,1,Autauga,1,1001,,,,,,14673.02,14524.34,12819.32,2010.76,6541.45,4444.96,8393.19,9058.148571
Alabama,1,Baldwin,3,1003,,,,,,49545.63,48971.7628,38513.11,36034.68,37200.15,36513.44,35948.27,40389.57754
Alabama,1,Barbour,5,1005,,,,,,27867.98,27569.64,27307.98,21263.7,22936.43,23172.35,22308.97,24632.43571
Alabama,1,Bibb,7,1007,,,,,,656.32,676.09,653.79,653.79,525.69,531.49,485.09,597.4657143
Alabama,1,Blount,9,1009,,,,,,3888.5,3941.29,3304.82,3176.84,3024.66,2438.51,2286.61,3151.604286
Alabama,1,Bullock,11,1011,,,,,,2202.66,2173.36,2179.56,2740.97,2729.11,1430.72,2273.68,2247.151429
Alabama,1,Butler,13,1013,,,,,,4342.02,4543.7,3611.88,4095.91,4037.69,3903.41,4238.39,4110.428571
Alabama,1,Calhoun,15,1015,,,,,,4718.48,4638.89,6562.42,0,0,0,0,2274.255714
Alabama,1,Chambers,17,1017,,,,,,0,0,0,0,0,0,0,0
Alabama,1,Cherokee,19,1019,,,,,,28463.53743,28219.50743,27428.56743,18356.92,18420.85,6136.21,7401.68,19203.89604
Alabama,1,Chilton,21,1021,,,,,,944.86,146.1,883.75,115.43,112.13,122.13,122.13,349.5042857
Alabama,1,Choctaw,23,1023,,,,,,318.58,361.08,361.08,361.17,375.08,297.08,339.48,344.7928571
Alabama,1,Clarke,25,1025,,,,,,399.3,421.3,169.3,212,212,356.8,356.8,303.9285714
Alabama,1,Clay,27,1027,,,,,,208.71,156.41,155.03,85.22,85.22,85.22,155.03,132.9771429
Alabama,1,Cleburne,29,1029,,,,,,0,0,0,0,0,0,0,0
Alabama,1,Coffee,31,1031,,,,,,49016.97,49090.42,46559.02,48001.42,48222.32,47594.64,47785.28,48038.58143
Alabama,1,Colbert,33,1033,,,,,,36371.77,36231.26,32798.23,18363.18,10366.33,4760.12,20367.13,22751.14571
Alabama,1,Conecuh,35,1035,,,,,,9018.5714,9742.86,9381.46,9719.64,9703.04,9938.39,9404.36,9558.331629
Alabama,1,Coosa,37,1037,,,,,,0,0,0,0,0,0,0,0
Alabama,1,Covington,39,1039,,,,,,30461.83,29928.56,30134.26,30089.76,29434.24,27404.67,28094.94,29364.03714
Alabama,1,Crenshaw,41,1041,,,,,,9859,9831.0326,9229.82,9545.35,9427.02,9718.65,8937.28,9506.878943
Alabama,1,Cullman,43,1043,,,,,,2270.34,2112.54,2224.33,2020.97,1347.59,1651.81,945.59,1796.167143
Alabama,1,Dale,45,1045,,,,,,31715.44,31307.96,30598.95,29811.05,30396.37,29413.74,29489.72,30390.46143
Alabama,1,Dallas,47,1047,,,,,,37314.24,34445.65,34519.3,23153.1,20211.42,21990.75,31730.08,29052.07714
Alabama,1,DeKalb,49,1049,,,,,,12664.83,12448.71,11624.74,8469.7,4343.38,3710.16,3553.72,8116.462857
Alabama,1,Elmore,51,1051,,,,,,13971.99,13930.89,12446.56,3387.95,333.61,2048.49,3643.13,7108.945714
Alabama,1,Escambia,53,1053,,,,,,35400.99,33949.92,34793.74,35283.82,35123.93,31927.72,33777.95,34322.58143
