State Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2014-2023 Average
Alabama,488799.14,488799.14,488799.14,488799.14,488799.14,1085312.274,1065944.954,994000.8638,782369.9968,722137.3994,709376.1188
Alaska,12270.2,12270.2,12270.2,12270.2,12270.2,17176.88,16978.13,14822.83,12561.9,12561.9,13545.264
Arizona,202713.81,202713.81,202713.81,202713.81,202713.81,486093.29,453423.21,463898.65,451987.41,433656.08,330262.769
Arkansas,2670091.22,2670091.22,2670091.22,2670091.22,2670091.22,4247844.926,4229170.931,3870219.42,3776793.885,3768693.52,3324317.878
California,1124145.45,1124145.45,1124145.45,1124145.45,1124145.45,1850194.5,1717403.911,1348395.34,1594575.982,1414162.266,1354545.925
Colorado,2906516.65,2906516.65,2906516.65,2906516.65,2906516.65,4381113.591,4338277.292,3545368.506,2584573.539,2242237.449,3162415.363
Connecticut,6193.5,6193.5,6193.5,6193.5,6193.5,9801.43,10222.8,9657.19,8833.6,8750.42,7823.294
Delaware,51301.18,51301.18,51301.18,51301.18,51301.18,216653.43,202252.7568,105130.2915,83942.45484,82345.40558,94683.02387
Florida,174468.24,174468.24,174468.24,174468.24,174468.24,256216.18,253508.74,258704.6662,246818.79,234406.75,212199.6326
Georgia,946670.76,946670.76,946670.76,946670.76,946670.76,2547511.856,2524780.165,2428418.934,1938565.761,1979026.291,1615165.681
Idaho,1730254.28,1730254.28,1730254.28,1730254.28,1730254.28,2649514.87,2628430.669,2601522.64,2226307.709,2005233.025,2076228.031
Illinois,738420.68,738420.68,738420.68,738420.68,738420.68,11623076.94,11534618.08,9872645.77,9448987.205,8982454.048,5515388.544
Indiana,252696.67,252696.67,252696.67,252696.67,252696.67,5932687.31,5851192.339,4824754.055,4489897.691,4276064.636,2663807.938
Iowa,518735.06,518735.06,518735.06,518735.06,518735.06,14374861.01,14302014.72,5769849.384,3598413.187,3005997.37,4364481.097
Kansas,5270834.02,5270834.02,5270834.02,5270834.02,5270834.02,17163220.96,17109347.36,13003433.78,8755514.249,6404487.742,8879017.418
Kentucky,218010.83,218010.83,218010.83,218010.83,218010.83,1771031.094,1735155.142,1071331.926,901019.442,844652.587,741324.4341
Louisiana,1013895.59,1013895.59,1013895.59,1013895.59,1013895.59,2035925.58,1993326.719,1889107.549,1532313.272,1604921.955,1412507.303
Maine,24503.67,24503.67,24503.67,24503.67,24503.67,29147.33,29014.52,29563.22,26475.86,26835.25,26355.453
Maryland,143066.53,143066.53,143066.53,143066.53,143066.53,417294.5512,414173.6728,345144.97,296221.6656,262285.0456,245045.2555
Massachusetts,0,0,0,0,0,15422,13849.61,14659.65,5780.62,4322.63,5403.451
Michigan,213639.11,213639.11,213639.11,213639.11,213639.11,2433014.37,2410739.733,2123303.127,1720292.84,1590876.289,1134642.191
Minnesota,475854.73,475854.73,475854.73,475854.73,475854.73,8050802.71,7920870.963,5334938.29,3390311.878,2855474.179,2993167.167
Mississippi,637280.52,637280.52,637280.52,637280.52,637280.52,2517554.56,2510219.462,2206767.194,1651806.369,1685582.066,1375833.225
Missouri,3358605.25,3358605.25,3358605.25,3358605.25,3358605.25,5298141.565,5288187.099,4647925.668,3952917.657,3195729.535,3917592.777
Montana,6904702.59,6904702.59,6904702.59,6904702.59,6904702.59,9288016.185,9161785.077,8542165.329,5216614.956,4978031.896,7171012.639
Nebraska,1805202.39,1805202.39,1805202.39,1805202.39,1805202.39,13616784.02,13444893.63,9758220.04,8298241.534,7339899.701,6148405.087
Nevada,30568.9,30568.9,30568.9,30568.9,30568.9,43276.75,43369.97,38959.68,38846.08,38539.78,35583.676
New Hampshire,902,902,902,902,902,8111.7,7839.114,6037.05894,9232.16894,8458.76,4418.880188
New Jersey,15657.47,15657.47,15657.47,15657.47,15657.47,32200.9,32193.99,27435.15,24661.17,22086,21686.456
New Mexico,790474.36,790474.36,790474.36,790474.36,790474.36,901475.38,855722.5544,856650.61,640509.74,599295.82,780602.5904
New York,25736.27,25736.27,25736.27,25736.27,25736.27,902247.0813,881454.7557,735897.0249,597436.4279,539198.18,378491.482
North Carolina,308381.08,308381.08,308381.08,308381.08,308381.08,1365006.67,1349026.356,1209119.318,1019283.471,1092346.797,757668.8012
North Dakota,5299723.17,5299723.17,5299723.17,5299723.17,5299723.17,15023390.34,14993453.55,12031821.03,9404804.113,8466879.62,8641896.451
Ohio,309808.83,309808.83,309808.83,309808.83,309808.83,3448807.61,3412234.77,2876510.273,2418095.485,2395139.594,1609983.188
Oklahoma,2930664.45,2930664.45,2930664.45,2930664.45,2930664.45,7193085.182,7162512.615,6475579.068,3378458.299,2391615.286,4125457.27
Oregon,166624.47,166624.47,166624.47,166624.47,166624.47,1238538.813,1230602.185,1102593.715,391387.5,303670.91,509991.5473
Pennsylvania,106064.03,106064.03,106064.03,106064.03,106064.03,444369.1293,448305.1276,414587.3406,380554.6548,324271.7821,254240.8184
Rhode Island,109.7,109.7,109.7,109.7,109.7,476.76,476.76,485.36,485.36,369.15,284.189
South Carolina,200760.74,200760.74,200760.74,200760.74,200760.74,587062.3786,569840.627,555666.6,389501.8051,429166.3098,353504.1421
South Dakota,1789534.28,1789534.28,1789534.28,1789534.28,1789534.28,6612852.55,6563151.531,4244497.82,2829756.579,2480433.543,3167836.342
Tennessee,124610.09,124610.09,124610.09,124610.09,124610.09,1732709.623,1705241.679,1263858.373,997596.5168,885889.2745,720834.5916
