State Name,County Name,fips,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total,Average,
Alabama,Autauga,1001,8,27,23,29,55,55,48,13,0,0,44,302,27.45454545,
Alabama,Baldwin,1003,112,130,118,117,129,130,135,108,0,0,691,1670,151.8181818,
Alabama,Barbour,1005,122,187,223,241,269,244,220,149,0,0,300,1955,177.7272727,
Alabama,Bibb,1007,0,8,8,10,11,7,3,0,0,0,0,47,4.272727273,
Alabama,Blount,1009,4,45,49,39,48,56,50,5,0,0,33,329,29.90909091,
Alabama,Bullock,1011,8,9,9,10,9,10,10,9,0,0,13,87,7.909090909,
Alabama,Butler,1013,19,78,76,70,68,48,36,17,0,0,40,452,41.09090909,
Alabama,Calhoun,1015,0,2,3,4,43,49,44,0,0,0,0,145,13.18181818,
Alabama,Chambers,1017,1,4,3,3,2,1,2,1,0,0,8,25,2.272727273,
Alabama,Cherokee,1019,1,164,145,139,248,236,225,0,0,0,150,1308,118.9090909,
Alabama,Chilton,1021,0,4,3,5,12,9,6,0,0,0,3,42,3.818181818,
Alabama,Choctaw,1023,0,5,7,6,9,8,6,0,0,0,0,41,3.727272727,
Alabama,Clarke,1025,1,9,8,7,8,8,7,1,0,0,15,64,5.818181818,
Alabama,Clay,1027,0,1,1,1,1,6,3,0,0,0,0,13,1.181818182,
Alabama,Cleburne,1029,0,1,1,1,1,2,2,0,0,0,0,8,0.727272727,
Alabama,Coffee,1031,265,306,341,355,374,367,328,286,0,0,943,3565,324.0909091,
Alabama,Colbert,1033,2,182,148,148,212,207,193,0,0,0,68,1160,105.4545455,
Alabama,Conecuh,1035,18,42,46,33,43,40,44,24,0,0,84,374,34,
Alabama,Coosa,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Covington,1039,123,132,164,155,166,183,191,140,0,0,497,1751,159.1818182,
Alabama,Crenshaw,1041,51,132,75,99,114,113,99,62,0,0,113,858,78,
Alabama,Cullman,1043,0,3,12,9,22,12,10,0,0,0,14,82,7.454545455,
Alabama,Dale,1045,111,200,186,188,173,187,179,144,0,0,589,1957,177.9090909,
Alabama,Dallas,1047,34,77,78,101,123,158,147,34,0,0,133,885,80.45454545,
Alabama,DeKalb,1049,0,165,154,171,183,171,133,0,0,0,10,987,89.72727273,
Alabama,Elmore,1051,4,17,14,12,42,46,45,8,0,0,32,220,20,
Alabama,Escambia,1053,91,139,86,146,117,120,117,99,0,0,607,1522,138.3636364,
Alabama,Etowah,1055,0,28,26,20,58,74,68,0,0,0,23,297,27,
Alabama,Fayette,1057,3,83,74,78,85,82,58,3,0,0,114,580,52.72727273,
Alabama,Franklin,1059,2,31,40,21,36,30,31,2,0,0,16,209,19,
Alabama,Geneva,1061,360,391,363,403,369,375,366,353,0,0,1130,4110,373.6363636,
Alabama,Greene,1063,0,42,26,32,38,41,35,0,0,0,1,215,19.54545455,
Alabama,Hale,1065,0,71,54,34,55,29,40,2,0,0,0,285,25.90909091,
Alabama,Henry,1067,195,236,240,242,254,249,251,230,0,0,913,2810,255.4545455,
Alabama,Houston,1069,354,398,357,473,360,346,317,288,0,0,1756,4649,422.6363636,
Alabama,Jackson,1071,0,78,92,95,131,246,149,0,0,0,3,794,72.18181818,
Alabama,Jefferson,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alabama,Lamar,1075,2,62,54,55,54,46,28,3,0,0,18,322,29.27272727,
Alabama,Lauderdale,1077,1,44,62,74,245,259,227,0,0,0,79,991,90.09090909,
Alabama,Lawrence,1079,2,84,95,92,153,163,158,4,0,0,272,1023,93,
Alabama,Lee,1081,13,27,19,21,19,22,27,11,0,0,47,206,18.72727273,
Alabama,Limestone,1083,11,277,280,277,418,446,443,0,0,0,434,2586,235.0909091,
Alabama,Lowndes,1085,4,20,37,42,52,52,62,5,0,0,13,287,26.09090909,
Alabama,Macon,1087,12,20,19,15,19,14,16,4,0,0,25,144,13.09090909,
