State Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Average
Alabama,1880,4660,4445,4667,5711,5930,5360,1959,0,0,3461.2
Alaska,0,14,14,23,15,18,20,0,0,0,10.4
Arizona,7,594,516,516,535,530,508,4,0,3,321.3
Arkansas,11258,12557,12079,12717,14525,15130,14621,10169,0,0,10305.6
California,42,2995,4381,2766,2608,3228,2544,12,0,0,1857.6
Colorado,45,8711,8577,8707,8627,9694,8847,1,0,0,5320.9
Connecticut,0,65,76,77,78,89,2,0,0,0,38.7
Delaware,0,483,443,472,492,765,610,0,0,0,326.5
Florida,1186,1384,1381,1410,1358,1266,1242,1087,0,0,1031.4
Georgia,5672,7686,7184,7916,8472,9735,9290,5983,0,0,6193.8
Guam,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0
Idaho,485,5132,5125,5935,5960,6887,6762,85,0,20,3639.1
Illinois,7,9870,10330,10621,10963,61867,27128,8,0,0,13079.4
Indiana,1,3037,3400,3739,4036,27348,14938,0,0,0,5649.9
Iowa,0,4013,4314,4521,4741,55306,3202,0,0,0,7609.7
Kansas,80,33568,33755,34147,34346,59607,54590,0,0,0,25009.3
Kentucky,16,3858,4159,4389,4624,16385,9510,0,0,0,4294.1
Louisiana,7672,8835,8458,8822,10978,10380,9686,5586,0,0,7041.7
Maine,9,36,48,161,159,214,172,0,0,0,79.9
Maryland,0,1297,1336,1655,1613,2139,1883,0,0,0,992.3
Massachusetts,0,1,3,16,14,207,2,0,0,0,24.3
Michigan,0,2602,2852,3151,3407,11778,9349,4,0,2,3314.5
Minnesota,349,3243,3613,4267,4469,25400,11975,0,0,0,5331.6
Mississippi,1168,2430,2164,2520,4863,6799,5792,1222,0,0,2695.8
Missouri,2050,27536,26885,27424,28722,33157,25608,1681,0,0,17306.3
Montana,288,10466,10401,11116,11072,12259,11853,5,0,5,6746.5
Nebraska,1,10936,11024,11119,11229,40708,19399,2,0,0,10441.8
Nevada,0,78,85,88,97,185,173,0,0,0,70.6
New Hampshire,0,22,24,21,23,99,2,0,0,0,19.1
New Jersey,0,136,142,145,157,317,282,0,0,0,117.9
New Mexico,112,1885,1876,1854,1885,1754,1478,125,0,0,1096.9
New York,0,454,558,662,766,4560,1990,0,0,0,899
North Carolina,2422,4247,4112,4202,5477,7204,6668,2082,0,9,3642.3
North Dakota,6244,11589,11456,13346,13877,20020,18900,19,0,10,9546.1
Ohio,0,5410,5817,6173,6482,22538,17548,0,0,0,6396.8
Oklahoma,1401,12998,12982,13296,13941,20450,20694,1050,0,0,9681.2
Oregon,111,1083,1110,1227,1274,3520,3434,3,0,1,1176.3
Pennsylvania,2,1585,1612,2097,2185,3504,2406,0,0,0,1339.1
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,6,8,11,11,16,0,0,0,0,5.2
South Carolina,1096,2399,2422,2422,2683,2902,2974,1043,0,0,1794.1
South Dakota,20,5592,5796,5861,6017,15583,11605,0,0,0,5047.4
Tennessee,35,2855,2918,2975,7450,12607,10455,23,0,0,3931.8
Texas,6349,46809,43948,45735,46420,44849,41992,5421,0,0,28152.3
Utah,2,1496,1497,1726,1714,1804,1713,0,0,0,995.2
Vermont,0,36,40,45,58,612,60,0,0,0,85.1
Virgin Islands of the U.S.,0,0,0,0,0,0,0,0,0,0,0
Virginia,742,3081,3106,3110,3333,3261,3119,655,0,0,2040.7
Washington,111,1249,1269,1940,1992,8613,8311,1,0,1,2348.7
West Virginia,0,78,94,99,119,377,260,0,0,0,102.7
Wisconsin,1,3117,3684,3914,4087,21730,8529,0,0,0,4506.2
Wyoming,1,1381,1437,1572,1634,1782,1630,0,0,0,943.7
,50865,273595,272956,285395,305299,615113,419116,38230,0,51,226062
