State Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,14-23 Average
Alabama,38045388.6,64235294.18,65106576.7,36276744.01,54438857.37,88526673.88,63384689.41,19368132,0,0,42938235.62
Alaska,0,12283,15983,201322,137462,124161,101117,0,0,0,59232.8
Arizona,43973,8710925.89,18643620,11740033,18264086.59,42140609.21,21133348.28,1961,0,24,12067858.1
Arkansas,198803346.5,297353821,416282240.8,264193790.5,338823522.3,307364482.2,188708368.2,39171114.05,0,0,205070068.5
California,271679,18951661.11,84851522.15,26651027,19934451.73,61118976.82,25878374.38,25864,0,0,23768355.62
Colorado,98951,40699473.89,104315975.1,64938124.65,29744919.47,89708228.51,34634686.01,4517,0,0,36414487.56
Connecticut,0,42098,151413,147536,41218,121236.72,166,0,0,0,50366.772
Delaware,0,839437,2187870,1342759.04,684024.99,3380067.78,976299,0,0,0,941045.781
Florida,21392036.81,33582354.88,32146756.1,18959002.51,24581727.18,32544016.97,29222392.23,11701188.81,0,0,20412947.55
Georgia,142567853.9,240829963.7,234906753.2,142997138.9,171713319.3,270476759.3,211456118.8,73795490.5,0,0,148874339.8
Guam,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0
Idaho,940757,34386098.6,81693045.75,60865074.06,32879428.43,93831775.45,49509680.24,15751,0,389,35412199.95
Illinois,84201,10983756.71,31877310.08,21738839.13,8155489.39,193698123.3,14143801.56,14719,0,0,28069624.02
Indiana,18,2544522,8827870,7733156,2366455.06,92010473.16,7041349.81,0,0,0,12052384.4
Iowa,0,4146198.5,15854960.79,15877798.63,4335911,234574066.5,316344.67,0,0,0,27510528.01
Kansas,144118,108884682.7,239808033.8,145634415.5,95720728.05,423755805.7,140061861.4,0,0,0,115400964.5
Kentucky,26823,3858695,10797874.18,6609577.67,2611795,32377765.73,8411934.98,0,0,0,6469446.556
Louisiana,72776674.8,100680507,144535834.8,92286727.87,133441909.6,141499365.7,81576895.56,13924933.9,0,0,78072284.91
Maine,10978,28467,33187,350032,232632,301219,189252,0,0,0,114576.7
Maryland,0,2258840,6100617.99,4247529,1841676.69,7831174,2516477,0,0,0,2479631.468
Massachusetts,0,74,1073,10397,2507,197640.86,78,0,0,0,21176.986
Michigan,0,3312550.93,10065101.63,6866413,2534421,44085306.99,8726728.22,64,0,5,7559059.077
Minnesota,1206081,7427049,17875988.94,13727967.2,7301935.44,160937920.1,32710669.52,0,0,0,24118761.12
Mississippi,46350042.85,68328278.72,95909764.11,58778738,106467655.7,169696149.7,91694020.82,9464063.84,0,0,64668871.37
Missouri,29479346.93,80363552.58,165437971.2,115550651.7,89366381.32,147486982.8,56965477.5,5518326.56,0,0,69016869.06
Montana,586535,82501970.33,205133004.7,133037795.1,68358060.99,187084660.1,101138890.4,2914,0,325,77784415.56
Nebraska,333,32444764.5,81425615.57,51497455.37,25760610.49,231818186.3,26417107.79,1666,0,0,44936573.91
Nevada,0,350273,832439,642499,352107,1215789,634512,0,0,0,402761.9
New Hampshire,0,12261,48823,45367,12597,124520,158,0,0,0,24372.6
New Jersey,0,110966,339550,251116,90469,564273,203649,0,0,0,156002.3
New Mexico,2285423.73,15007745.1,29051282.64,17552520.98,14211212.41,23156725.68,8903862.29,1446858.1,0,0,11161563.09
New York,0,352931,1195897.02,1014117.96,351404,12340141.13,1613709.09,0,0,0,1686820.02
North Carolina,24745508.04,40882008.54,42938173.51,25536612.48,42549858.91,93097529.02,57391026.47,11769626.59,0,761,33891110.46
North Dakota,51308868,119448860.8,179440787.5,131738031.8,124103328.2,388056051.9,183795878.7,5131,0,312,117789725
Ohio,0,5252821,15162124.56,9588668,3632485.01,62212353.62,11929724.94,0,0,0,10777817.71
Oklahoma,10213944.38,65409541.96,140015653.3,72575973.9,44487931.9,185695072.3,93584115.82,4999169,0,0,61698140.25
Oregon,214822,4762380,11756710.71,7158696.98,3682628,43784720,21797498.1,512,0,15,9315798.279
Pennsylvania,954,1055984,3166483.61,2902279,1026863,5082733.04,761470,0,0,0,1399676.665
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,1596,9413,10692,2507,6190,0,0,0,0,3039.8
South Carolina,14828511.61,25681340.76,26253238.86,15377335.37,20906751.11,42547936.72,26251150.9,6159885,0,0,17800615.03
South Dakota,36786,25500996.75,64804073.12,39781467,23912464.85,113588166.1,36739247.54,0,0,0,30436320.13
Tennessee,275441,3738799,8402274.66,4440608,19175709.38,68980348.05,30127639.29,107422,0,0,13524824.14
Texas,115052633.4,360949094.5,610405088.4,368500410.4,357114196.7,660409158.3,321140118.2,39268691.29,0,0,283283939.1
Utah,115,4023064.61,10460636.57,6934948.2,3394202.21,7929820,3658592,0,0,0,3640137.859
Vermont,0,9518,52156,48661,18604,1023345,10125,0,0,0,116240.9
Virgin Islands of the U.S.,0,0,0,0,0,0,0,0,0,0,0
Virginia,10401713.39,19461753.69,24288723.08,14572056.66,15767584.9,27971065.28,19077537,5245290,0,0,13678572.4
Washington,221868,6907243.95,17976543.64,12012912.52,5898406,130848027.9,65147534,3306,0,104,23901594.6
West Virginia,0,16826,60283,58395,22074,328672,94088,0,0,0,58033.8
Wisconsin,178,1753307,5980800.4,5127275.89,1614611,54643079.42,2447780,0,0,0,7156703.171
Wyoming,177,3656082,9814621.81,7225988,3714369.08,7845160.53,3812080.77,0,0,0,3606847.919
,782416080.9,1951752715,3276441741,2045356678,1925783551,4988142706,2086037626,242016596.6,0,1935,1729794963
