year,state,program,Number of Contracts,Number of Acres,Total Financial Assistance Payments ($1000),Total Reimbursable Payments,Total Techinical Assistance Payments,Total Payments
2014,Alabama,ACEP,1,57,577.4,0,745.2,1322.6
2014,Alaska,ACEP,0,0,0,0,0,0
2014,Arizona,ACEP,0,0,0,0,263.3,263.3
2014,Arkansas,ACEP,0,0,16863.2,0,3362.7,20225.9
2014,California,ACEP,2,162,16592.7,0,2918.5,19511.2
2014,Colorado,ACEP,0,0,3997.5,0,948.5,4946
2014,Connecticut,ACEP,0,0,3734.9,0,447.4,4182.4
2014,Delaware,ACEP,1,2,3394.8,0,380.4,3775.2
2014,Florida,ACEP,0,0,23533.1,0,7622,31155.1
2014,Georgia,ACEP,0,0,4846.6,0,908.3,5754.9
2014,Hawaii/Pacific,ACEP,0,0,0,0,0,0
2014,Idaho,ACEP,0,0,3167.8,0,514.1,3681.8
2014,Illinois,ACEP,0,0,1117,0,999.9,2117
2014,Indiana,ACEP,0,0,3148.4,0,856,4004.3
2014,Iowa,ACEP,2,8,11553.1,0,2207.1,13760.2
2014,Kansas,ACEP,0,0,3513.4,0,851.9,4365.3
2014,Kentucky,ACEP,1,14,8688.2,0,1953,10641.2
2014,Louisiana,ACEP,1,105,13886.9,0,3502.7,17389.6
2014,Maine,ACEP,0,0,297,0,196.3,493.3
2014,Maryland,ACEP,0,0,917,0,505.1,1422.1
2014,Massachusetts,ACEP,0,0,4001.4,0,612.5,4613.9
2014,Michigan,ACEP,0,0,2629.1,0,856.8,3486
2014,Minnesota,ACEP,2,312,1080,0,2515.7,3595.7
2014,Mississippi,ACEP,0,0,5359.2,0,1498.5,6857.7
2014,Missouri,ACEP,0,0,4898.7,0,1186.7,6085.4
2014,Montana,ACEP,0,0,5297.1,0,892.1,6189.1
2014,Nebraska,ACEP,8,2319,2716.6,0,1401.7,4118.3
2014,Nevada,ACEP,0,0,3602,0,781.4,4383.4
2014,New Hampshire,ACEP,0,0,2885.1,0,556.8,3441.9
2014,New Jersey,ACEP,0,0,4965.3,0,604,5569.4
2014,New Mexico,ACEP,0,0,0,0,217.7,217.7
2014,New York,ACEP,0,0,2221.6,0,924.4,3146
2014,North Carolina,ACEP,0,0,1879.8,0,766.7,2646.5
2014,North Dakota,ACEP,0,0,4010.7,0,1888.7,5899.4
2014,Ohio,ACEP,0,0,7431.8,0,1384.5,8816.3
2014,Oklahoma,ACEP,0,0,973.8,0,769.7,1743.5
2014,Oregon,ACEP,0,0,618.9,0,1096.7,1715.5
2014,Pennsylvania,ACEP,0,0,3992.5,0,1437.8,5430.3
2014,Rhode Island,ACEP,0,0,370,0,173.6,543.6
2014,South Carolina,ACEP,0,0,1882.9,0,398.2,2281.1
2014,South Dakota,ACEP,0,0,5993,0,1892.9,7885.8
2014,Tennessee,ACEP,0,0,2335.7,0,2100.3,4436
2014,Texas,ACEP,0,0,8770.4,0,2457.4,11227.8
2014,Utah,ACEP,0,0,4997.2,0,493.6,5490.8
2014,Vermont,ACEP,0,0,3605.7,25,537.8,4168.6
2014,Virginia,ACEP,0,0,845.9,0,498,1344
2014,Washington,ACEP,0,0,1342.5,0,471.1,1813.6
2014,West Virginia,ACEP,0,0,1890.7,0,460.7,2351.5
2014,Wisconsin,ACEP,0,0,2771.3,0,953.8,3725.1
2014,Wyoming,ACEP,0,0,1500,0,307.9,1807.9
2015,Alabama,ACEP,2,115,559.2,0,752,1311.3
2015,Alaska,ACEP,0,0,0,0,0,0
2015,Arizona,ACEP,0,0,0,0,395.8,395.8
2015,Arkansas,ACEP,249,53590,19533.3,0,5431.1,24964.4
2015,California,ACEP,0,0,15553.7,0,5298.3,20852
2015,Colorado,ACEP,5,2670,3956.6,0,499.5,4456.1
2015,Connecticut,ACEP,0,0,2898.4,0,447.8,3346.2
2015,Delaware,ACEP,0,0,3966.8,0,526,4492.8
2015,Florida,ACEP,0,0,25311.4,0,5608,30919.4
2015,Georgia,ACEP,0,0,6042.4,0,1053,7095.4
2015,Hawaii/Pacific,ACEP,0,0,0,0,0,0
2015,Idaho,ACEP,0,0,665.2,0,637.2,1302.4
2015,Illinois,ACEP,1,8,2324.3,0,1308.9,3633.2
2015,Indiana,ACEP,0,0,3313.8,0,1445.3,4759
2015,Iowa,ACEP,0,0,11154,0,2504.7,13658.7
2015,Kansas,ACEP,2,114,1919.1,0,898.7,2817.9
2015,Kentucky,ACEP,0,0,8773.5,0,2537.6,11311
2015,Louisiana,ACEP,0,0,13652.3,0,3033.7,16686
2015,Maine,ACEP,0,0,345.8,0,216.7,562.5
2015,Maryland,ACEP,0,0,2366.2,0,581.2,2947.4
2015,Massachusetts,ACEP,0,0,2271,0,691.8,2962.8
2015,Michigan,ACEP,18,151,2680.4,0,842.4,3522.8
2015,Minnesota,ACEP,2,134,825.1,0,1314.5,2139.6
2015,Mississippi,ACEP,0,0,2058.2,0,1817.4,3875.6
2015,Missouri,ACEP,29,1712,4442.1,0,2047.2,6489.4
2015,Montana,ACEP,0,0,4188.4,0,1165.6,5354
2015,Nebraska,ACEP,7,1811,2528.1,0,1993.8,4521.9
2015,Nevada,ACEP,0,0,2754.7,0,993.5,3748.2
2015,New Hampshire,ACEP,0,0,3570.9,0,842.1,4413
2015,New Jersey,ACEP,0,0,4670.8,0,742.2,5413
2015,New Mexico,ACEP,0,0,0,0,300.2,300.2
2015,New York,ACEP,1,11,3003.4,0,936,3939.4
2015,North Carolina,ACEP,0,0,584.3,0,1098.9,1683.1
2015,North Dakota,ACEP,0,0,3798,0,2144.9,5943
2015,Ohio,ACEP,0,0,9106.2,0,2534.4,11640.5
2015,Oklahoma,ACEP,7,921,808.1,0,859.8,1667.9
2015,Oregon,ACEP,0,0,2463.2,0,1110.1,3573.3
2015,Pennsylvania,ACEP,0,0,2875.1,0,1511.9,4387
2015,Rhode Island,ACEP,0,0,285.1,0,185.7,470.7
2015,South Carolina,ACEP,0,0,574.8,0,1647.3,2222.1
2015,South Dakota,ACEP,10,463,5882.5,0,2499.6,8382.1
2015,Tennessee,ACEP,0,0,2482.8,0,1592.7,4075.5
2015,Texas,ACEP,1,8,5542.5,0,3516.2,9058.7
2015,Utah,ACEP,0,0,3096.9,0,578.2,3675.1
2015,Vermont,ACEP,1,110,548.5,45,772.3,1365.8
2015,Virginia,ACEP,1,5,1777.3,0,666.6,2443.9
2015,Washington,ACEP,0,0,12.3,0,575.5,587.8
2015,West Virginia,ACEP,0,0,48.5,0,518.3,566.7
2015,Wisconsin,ACEP,1,62,2215.1,0,1245,3460
2015,Wyoming,ACEP,0,0,717.4,0,325,1042.4
2016,Alabama,ACEP,0,0,742.7,0,622,1364.7
2016,Alaska,ACEP,0,0,0,0,0,0
2016,Arizona,ACEP,0,0,1903.4,0,385.2,2288.6
2016,Arkansas,ACEP,89,22302,15041.3,0,4078.4,19119.7
2016,California,ACEP,0,0,18097.4,0,4981,23078.4
2016,Colorado,ACEP,0,0,12949,0,1356.2,14305.2
2016,Connecticut,ACEP,0,0,4362.8,0,1084.2,5447
2016,Delaware,ACEP,0,0,189.4,0,429.1,618.5
2016,Florida,ACEP,0,0,8624.3,0,4452.3,13076.6
2016,Georgia,ACEP,1,303,2990.9,0,1992.5,4983.4
2016,Hawaii/Pacific,ACEP,0,0,0,0,0,0
2016,Idaho,ACEP,0,0,1090.8,0,489.8,1580.6
2016,Illinois,ACEP,0,0,2865.7,0,1195.7,4061.4
2016,Indiana,ACEP,6,104,7038.3,0,1294.4,8332.8
2016,Iowa,ACEP,83,5040,13140.9,0,2107.4,15248.4
2016,Kansas,ACEP,0,0,1954.5,0,613.2,2567.7
2016,Kentucky,ACEP,0,0,12091.9,0,2476.7,14568.6
2016,Louisiana,ACEP,3,7,14738.2,0,2386.8,17124.9
2016,Maine,ACEP,0,0,250.8,0,223.9,474.6
2016,Maryland,ACEP,14,177,2626.1,0,577.7,3203.8
2016,Massachusetts,ACEP,0,0,4009.5,0,887.7,4897.3
2016,Michigan,ACEP,0,0,3228.8,0,820.4,4049.2
2016,Minnesota,ACEP,16,954,1400.3,0,2020.8,3421.1
2016,Mississippi,ACEP,0,0,5296.5,0,1353.1,6649.6
2016,Missouri,ACEP,0,0,9115.1,0,2095,11210.2
2016,Montana,ACEP,0,0,15970.5,0,1751.5,17722
2016,Nebraska,ACEP,29,8346,752.7,0,1464.8,2217.5
2016,Nevada,ACEP,0,0,37.1,0,957.2,994.3
2016,New Hampshire,ACEP,0,0,8065,0,799.9,8864.8
2016,New Jersey,ACEP,0,0,4861.2,0,663.2,5524.4
2016,New Mexico,ACEP,0,0,682.4,0,285.2,967.6
2016,New York,ACEP,0,0,3256,0,872.3,4128.2
2016,North Carolina,ACEP,3,12,4192.5,0,1435,5627.5
2016,North Dakota,ACEP,0,0,3759.1,0,2139,5898.1
2016,Ohio,ACEP,0,0,8381,0,1748.8,10129.8
2016,Oklahoma,ACEP,7,189,1835.9,0,809.7,2645.6
2016,Oregon,ACEP,0,0,393.9,0,1045.3,1439.2
2016,Pennsylvania,ACEP,5,26,2404.4,0,1052.4,3456.8
2016,Rhode Island,ACEP,0,0,1301.8,0,246.3,1548.1
2016,South Carolina,ACEP,0,0,2237.1,0,879.9,3117
2016,South Dakota,ACEP,16,1158,8385.2,0,2771.2,11156.4
2016,Tennessee,ACEP,0,0,3842.9,0,2003.5,5846.4
2016,Texas,ACEP,0,0,6561.5,0,3494.5,10056
2016,Utah,ACEP,0,0,1268.8,0,431.4,1700.2
2016,Vermont,ACEP,0,0,7291.9,0.5,706.2,7998.6
2016,Virginia,ACEP,0,0,2143.7,0,634.8,2778.6
2016,Washington,ACEP,0,0,1133.3,0,468.2,1601.4
2016,West Virginia,ACEP,0,0,3143.4,0,495.1,3638.6
2016,Wisconsin,ACEP,5,86,3594.1,0,1021.3,4615.4
2016,Wyoming,ACEP,0,0,2797.7,0,586.9,3384.6
2017,Alabama,ACEP,0,0,2906.80876,0,529.28079,3436.08955
2017,Alaska,ACEP,0,0,0,0,0,0
2017,Arizona,ACEP,0,0,12428.22204,0,445.09637,12873.31841
2017,Arkansas,ACEP,0,0,40998.22835,0,5358.9991,46357.22745
2017,California,ACEP,0,0,19523.35181,0,5750.57025,25273.92206
2017,Colorado,ACEP,0,0,9176.434,0,1134.35613,10310.79013
2017,Connecticut,ACEP,0,0,4088.94,0,760.46962,4849.40962
2017,Delaware,ACEP,0,0,1731.64595,0,409.23005,2140.876
2017,Florida,ACEP,0,0,46551.59958,0,4888.47813,51440.07771
2017,Georgia,ACEP,0,0,16044.91613,0,1485.94075,17530.85688
2017,Hawaii/Pacific,ACEP,0,0,0,0,0,0
2017,Idaho,ACEP,0,0,2060.51675,0,452.30292,2512.81967
