Pay_year,State,full_practice_code,practice_code,StatutoryCategory, payments ,practice_instance_count
2014,Alabama,CROP,CROP,Cropland,948588,130
2014,Alabama,MINPAY,MINPAY,2014 Other Practices,16946,30
2014,Alabama,NIPF,NIPF,NIPF,117610,120
2014,Alabama,PAST,PAST,Pastureland,108582,48
2014,Alabama,PCROP,PCROP,Pastured Cropland,26427,22
2014,Alabama,RCCR,RCCR,2014 Other Practices,2880,8
2014,Alaska,CROP,CROP,Cropland,,
2014,Arizona,CROP,CROP,Cropland,122510,10
2014,Arkansas,CROP,CROP,Cropland,59693110,4086
2014,Arkansas,MINPAY,MINPAY,2014 Other Practices,42276,66
2014,Arkansas,NIPF,NIPF,NIPF,467133,330
2014,Arkansas,PAST,PAST,Pastureland,706475,411
2014,Arkansas,PCROP,PCROP,Pastured Cropland,311664,77
2014,Arkansas,RCCR,RCCR,2014 Other Practices,331711,45
2014,California,CROP,CROP,Cropland,656870,112
2014,California,NIPF,NIPF,NIPF,21768,12
2014,California,PAST,PAST,Pastureland,83964,42
2014,California,RANGE,RANGE,Rangeland,757988,80
2014,Colorado,CROP,CROP,Cropland,6298534,804
2014,Colorado,PAST,PAST,Pastureland,4740,10
2014,Colorado,RANGE,RANGE,Rangeland,2717789,468
2014,Delaware,CROP,CROP,Cropland,791661,140
2014,Delaware,NIPF,NIPF,NIPF,3155,10
2014,Florida,CROP,CROP,Cropland,1565,10
2014,Florida,MINPAY,MINPAY,2014 Other Practices,4662,6
2014,Florida,NIPF,NIPF,NIPF,16996,34
2014,Florida,PAST,PAST,Pastureland,1221229,174
2014,Florida,RANGE,RANGE,Rangeland,360036,128
2014,Georgia,CROP,CROP,Cropland,33063911,2626
2014,Georgia,MINPAY,MINPAY,2014 Other Practices,63766,94
2014,Georgia,NIPF,NIPF,NIPF,1136311,777
2014,Georgia,PAST,PAST,Pastureland,1001725,866
2014,Georgia,PCROP,PCROP,Pastured Cropland,121300,88
2014,Georgia,RCCR,RCCR,2014 Other Practices,21645,5
2014,Hawaii,MINPAY,MINPAY,2014 Other Practices,6155,10
2014,Hawaii,PAST,PAST,Pastureland,17235,40
2014,Idaho,CROP,CROP,Cropland,3229747,516
2014,Idaho,MINPAY,MINPAY,2014 Other Practices,5490,6
2014,Idaho,NIPF,NIPF,NIPF,48692,90
2014,Idaho,PAST,PAST,Pastureland,116524,254
2014,Idaho,PCROP,PCROP,Pastured Cropland,39754,50
2014,Idaho,RANGE,RANGE,Rangeland,709704,204
2014,Idaho,RCCR,RCCR,2014 Other Practices,7200,4
2014,Illinois,CROP,CROP,Cropland,45437010,5896
2014,Illinois,MINPAY,MINPAY,2014 Other Practices,41279,65
2014,Illinois,NIPF,NIPF,NIPF,94882,274
2014,Illinois,PAST,PAST,Pastureland,268712,682
2014,Illinois,PCROP,PCROP,Pastured Cropland,44972,120
2014,Illinois,RCCR,RCCR,2014 Other Practices,13150,25
