Pay_year,state_code,State,practice_code,payments,StatutoryCategory
2022,1,Alabama,647,74,Land Management (6(A)(ii))
2022,1,Alabama,CROP,581428,Cropland
2022,1,Alabama,E314,7,Land Management (6(A)(ii))
2022,1,Alabama,E315,794,Land Management (6(A)(ii))
2022,1,Alabama,E315,406,Land Management (6(A)(ii))
2022,1,Alabama,E315,6203,Land Management (6(A)(ii))
2022,1,Alabama,E327,805,Vegetative (6(A)(iii))
2022,1,Alabama,E328,6699,Vegetative (6(A)(iii))
2022,1,Alabama,E328,30,Vegetative (6(A)(iii))
2022,1,Alabama,E338,343580,Land Management (6(A)(ii))
2022,1,Alabama,E340,8397,Vegetative (6(A)(iii))
2022,1,Alabama,E340,38976,Vegetative (6(A)(iii))
2022,1,Alabama,E340,1105,Vegetative (6(A)(iii))
2022,1,Alabama,E340,25423,Vegetative (6(A)(iii))
2022,1,Alabama,E340,25984,Vegetative (6(A)(iii))
2022,1,Alabama,E340,8678,Vegetative (6(A)(iii))
2022,1,Alabama,E345,694,Soil remediation (6(A)(vi))
2022,1,Alabama,E345,336,Soil remediation (6(A)(vi))
2022,1,Alabama,E345,4302,Soil remediation (6(A)(vi))
2022,1,Alabama,E386,9111,Vegetative (6(A)(iii))
2022,1,Alabama,E449,671,Structural (6(A)(i))
2022,1,Alabama,E511,923,Forest management (6(A)(iv))
2022,1,Alabama,E512,12583,Vegetative (6(A)(iii))
2022,1,Alabama,E528,15753,Land Management (6(A)(ii))
2022,1,Alabama,E528,1753,Land Management (6(A)(ii))
2022,1,Alabama,E528,3815,Land Management (6(A)(ii))
2022,1,Alabama,E528,963,Land Management (6(A)(ii))
2022,1,Alabama,E528,1335,Land Management (6(A)(ii))
2022,1,Alabama,E590,11062,Land Management (6(A)(ii))
2022,1,Alabama,E590,10294,Land Management (6(A)(ii))
2022,1,Alabama,E595,76374,Other (6(A)(vii))
2022,1,Alabama,E595,8790,Other (6(A)(vii))
2022,1,Alabama,E595,18032,Other (6(A)(vii))
2022,1,Alabama,E666,6940,Forest management (6(A)(iv))
2022,1,Alabama,E666,7864,Forest management (6(A)(iv))
2022,1,Alabama,E666,30973,Forest management (6(A)(iv))
2022,1,Alabama,E666,27476,Forest management (6(A)(iv))
2022,1,Alabama,FARM,10836,2014 Other Practices
2022,1,Alabama,MINPAY,625,2014 Other Practices
2022,1,Alabama,NIPF,244293,NIPF
2022,1,Alabama,PAST,142489,Pastureland
2022,1,Alabama,PCROP,466,Pastured Cropland
2022,4,Arizona,CROP,122094,Cropland
2022,4,Arizona,RANGE,63345,Rangeland
2022,5,Arkansas,324,1289,Soil remediation (6(A)(vi))
2022,5,Arkansas,328,495,Vegetative (6(A)(iii))
2022,5,Arkansas,329,279,Soil remediation (6(A)(vi))
2022,5,Arkansas,338,6,Land Management (6(A)(ii))
2022,5,Arkansas,340,7755,Vegetative (6(A)(iii))
2022,5,Arkansas,345,1992,Soil remediation (6(A)(vi))
2022,5,Arkansas,394,5076,Land Management (6(A)(ii))
2022,5,Arkansas,449,19719,Structural (6(A)(i))
2022,5,Arkansas,511,893,Forest management (6(A)(iv))
2022,5,Arkansas,512,455,Vegetative (6(A)(iii))
2022,5,Arkansas,528,8106,Land Management (6(A)(ii))
2022,5,Arkansas,590,4964,Land Management (6(A)(ii))
2022,5,Arkansas,595,2658,Other (6(A)(vii))
2022,5,Arkansas,645,13,Land Management (6(A)(ii))
2022,5,Arkansas,647,4,Land Management (6(A)(ii))
2022,5,Arkansas,666,208,Forest management (6(A)(iv))
2022,5,Arkansas,AGLAND,37542,2014 Other Practices
2022,5,Arkansas,B000,6521,Bundles
2022,5,Arkansas,CROP,12086028,Cropland
2022,5,Arkansas,E315,12789,Land Management (6(A)(ii))
2022,5,Arkansas,E327,197,Vegetative (6(A)(iii))
2022,5,Arkansas,E327,1962,Vegetative (6(A)(iii))
2022,5,Arkansas,E328,29456,Vegetative (6(A)(iii))
2022,5,Arkansas,E328,10676,Vegetative (6(A)(iii))
2022,5,Arkansas,E328,22,Vegetative (6(A)(iii))
2022,5,Arkansas,E328,16469,Vegetative (6(A)(iii))
2022,5,Arkansas,E328,5370,Vegetative (6(A)(iii))
2022,5,Arkansas,E328,21095,Vegetative (6(A)(iii))
2022,5,Arkansas,E328,2175,Vegetative (6(A)(iii))
2022,5,Arkansas,E328,17023,Vegetative (6(A)(iii))
2022,5,Arkansas,E328,15913,Vegetative (6(A)(iii))
2022,5,Arkansas,E328,3358,Vegetative (6(A)(iii))
2022,5,Arkansas,E329,2973,Soil remediation (6(A)(vi))
2022,5,Arkansas,E329,11148,Soil remediation (6(A)(vi))
2022,5,Arkansas,E329,4419,Soil remediation (6(A)(vi))
2022,5,Arkansas,E329,318,Soil remediation (6(A)(vi))
2022,5,Arkansas,E329,2560,Soil remediation (6(A)(vi))
2022,5,Arkansas,E329,925,Soil remediation (6(A)(vi))
2022,5,Arkansas,E334,81158,Other (6(A)(vii))
2022,5,Arkansas,E338,165262,Land Management (6(A)(ii))
2022,5,Arkansas,E338,10486,Land Management (6(A)(ii))
2022,5,Arkansas,E340,37751,Vegetative (6(A)(iii))
2022,5,Arkansas,E340,7167,Vegetative (6(A)(iii))
2022,5,Arkansas,E340,71907,Vegetative (6(A)(iii))
2022,5,Arkansas,E340,721,Vegetative (6(A)(iii))
2022,5,Arkansas,E340,44933,Vegetative (6(A)(iii))
2022,5,Arkansas,E340,78234,Vegetative (6(A)(iii))
2022,5,Arkansas,E340,23381,Vegetative (6(A)(iii))
2022,5,Arkansas,E340,326703,Vegetative (6(A)(iii))
2022,5,Arkansas,E345,265811,Soil remediation (6(A)(vi))
2022,5,Arkansas,E345,195930,Soil remediation (6(A)(vi))
2022,5,Arkansas,E345,66433,Soil remediation (6(A)(vi))
2022,5,Arkansas,E345,48283,Soil remediation (6(A)(vi))
2022,5,Arkansas,E345,35322,Soil remediation (6(A)(vi))
2022,5,Arkansas,E345,60783,Soil remediation (6(A)(vi))
2022,5,Arkansas,E390,1576,Vegetative (6(A)(iii))
2022,5,Arkansas,E395,36516,Land Management (6(A)(ii))
2022,5,Arkansas,E449,26521,Structural (6(A)(i))
2022,5,Arkansas,E449,94333,Structural (6(A)(i))
2022,5,Arkansas,E449,81308,Structural (6(A)(i))
2022,5,Arkansas,E449,26404,Structural (6(A)(i))
2022,5,Arkansas,E449,70699,Structural (6(A)(i))
2022,5,Arkansas,E472,1664,Land Management (6(A)(ii))
2022,5,Arkansas,E484,57,Land Management (6(A)(ii))
2022,5,Arkansas,E511,45060,Forest management (6(A)(iv))
2022,5,Arkansas,E511,1242,Forest management (6(A)(iv))
2022,5,Arkansas,E512,1763,Vegetative (6(A)(iii))
2022,5,Arkansas,E528,224,Land Management (6(A)(ii))
2022,5,Arkansas,E528,2303,Land Management (6(A)(ii))
2022,5,Arkansas,E528,4321,Land Management (6(A)(ii))
2022,5,Arkansas,E528,788,Land Management (6(A)(ii))
2022,5,Arkansas,E528,10819,Land Management (6(A)(ii))
2022,5,Arkansas,E528,2105,Land Management (6(A)(ii))
2022,5,Arkansas,E528,4997,Land Management (6(A)(ii))
2022,5,Arkansas,E590,2464888,Land Management (6(A)(ii))
2022,5,Arkansas,E590,1046410,Land Management (6(A)(ii))
2022,5,Arkansas,E590,57903,Land Management (6(A)(ii))
2022,5,Arkansas,E590,210625,Land Management (6(A)(ii))
2022,5,Arkansas,E590,860990,Land Management (6(A)(ii))
2022,5,Arkansas,E595,2616039,Other (6(A)(vii))
2022,5,Arkansas,E595,694908,Other (6(A)(vii))
2022,5,Arkansas,E595,395245,Other (6(A)(vii))
2022,5,Arkansas,E612,24131,Forest management (6(A)(iv))
2022,5,Arkansas,E612,15016,Forest management (6(A)(iv))
2022,5,Arkansas,E612,414,Forest management (6(A)(iv))
2022,5,Arkansas,E612,9196,Forest management (6(A)(iv))
2022,5,Arkansas,E612,370488,Forest management (6(A)(iv))
2022,5,Arkansas,E646,1099075,Land Management (6(A)(ii))
2022,5,Arkansas,E646,9180,Land Management (6(A)(ii))
2022,5,Arkansas,E646,731894,Land Management (6(A)(ii))
2022,5,Arkansas,E646,143518,Land Management (6(A)(ii))
2022,5,Arkansas,E646,88915,Land Management (6(A)(ii))
2022,5,Arkansas,E646,2101,Land Management (6(A)(ii))
2022,5,Arkansas,E646,150167,Land Management (6(A)(ii))
2022,5,Arkansas,E646,2992,Land Management (6(A)(ii))
2022,5,Arkansas,E647,372514,Land Management (6(A)(ii))
2022,5,Arkansas,E647,3640,Land Management (6(A)(ii))
2022,5,Arkansas,E647,122,Land Management (6(A)(ii))
2022,5,Arkansas,E647,141618,Land Management (6(A)(ii))
2022,5,Arkansas,E647,629,Land Management (6(A)(ii))
2022,5,Arkansas,E647,40,Land Management (6(A)(ii))
