Pay_year,State,full_practice_code,practice_code,category_name,payments,practice_instance_count
2014,Alabama,102,102,Comprehensive Nutrient Mgt. (6(B)(i)),275235,39
2014,Alabama,106,106,other (6(B)(vi)),37505,33
2014,Alabama,122,122,other (6(B)(vi)),143243,74
2014,Alabama,138,138,other (6(B)(vi)),11101,7
2014,Alabama,313,313,Structural (6(A)(i)),193160,22
2014,Alabama,314,314,Land Management (6(A)(ii)),34439,16
2014,Alabama,315,315,Land Management (6(A)(ii)),219018,137
2014,Alabama,316,316,Structural (6(A)(i)),106273,21
2014,Alabama,327,327,Vegetative (6(A)(iii),,
2014,Alabama,328,328,Vegetative (6(A)(iii),87529,8
2014,Alabama,338,338,Land Management (6(A)(ii)),,
2014,Alabama,340,340,Vegetative (6(A)(iii),,
2014,Alabama,342,342,Vegetative (6(A)(iii),14849,61
2014,Alabama,345,345,Soil remediation (6(A)(vi),16073,10
2014,Alabama,362,362,Structural (6(A)(i)),3148,4
2014,Alabama,367,367,Structural (6(A)(i)),362173,22
2014,Alabama,374,374,Other (6(A)(vii)),2610114,157
2014,Alabama,378,378,Structural (6(A)(i)),37243,8
2014,Alabama,382,382,Land Management (6(A)(ii)),747545,223
2014,Alabama,394,394,Land Management (6(A)(ii)),670766,357
2014,Alabama,410,410,Land Management (6(A)(ii)),164201,13
2014,Alabama,412,412,Vegetative (6(A)(iii),11102,6
2014,Alabama,441,441,Structural (6(A)(i)),76574,22
2014,Alabama,442,442,Structural (6(A)(i)),437485,13
2014,Alabama,449,449,Structural (6(A)(i)),,
2014,Alabama,460,460,Land Management (6(A)(ii)),9148,7
2014,Alabama,466,466,Land Management (6(A)(ii)),167802,66
2014,Alabama,484,484,Land Management (6(A)(ii)),13607,10
2014,Alabama,490,490,Forest management (6(A)(iv)),1018810,306
2014,Alabama,512,512,Vegetative (6(A)(iii),308786,91
2014,Alabama,516,516,Structural (6(A)(i)),227471,152
2014,Alabama,528,528,Land Management (6(A)(ii)),11147,6
2014,Alabama,533,533,Structural (6(A)(i)),77734,57
2014,Alabama,560,560,Land Management (6(A)(ii)),54152,5
2014,Alabama,561,561,Land Management (6(A)(ii)),538084,236
2014,Alabama,578,578,Structural (6(A)(i)),19946,7
2014,Alabama,590,590,Land Management (6(A)(ii)),100288,12
2014,Alabama,600,600,Structural (6(A)(i)),140737,34
2014,Alabama,612,612,Forest management (6(A)(iv)),1861915,322
2014,Alabama,614,614,Structural (6(A)(i)),117176,157
2014,Alabama,620,620,Structural (6(A)(i)),242389,41
2014,Alabama,638,638,Structural (6(A)(i)),38507,13
2014,Alabama,642,642,Structural (6(A)(i)),208956,55
2014,Alabama,645,645,Land Management (6(A)(ii)),,
2014,Alabama,655,655,Forest management (6(A)(iv)),,
2014,Alabama,666,666,Forest management (6(A)(iv)),,
2014,Alabama,717,717,Structural (6(A)(i)),,
2014,Alabama,798,798,Structural (6(A)(i)),141697,23
2014,Alaska,102,102,Comprehensive Nutrient Mgt. (6(B)(i)),,
2014,Alaska,328,328,Vegetative (6(A)(iii),166512,163
2014,Alaska,355,355,Other (6(A)(vii)),,
2014,Alaska,374,374,Other (6(A)(vii)),,
2014,Alaska,382,382,Land Management (6(A)(ii)),51887,9
2014,Alaska,449,449,Structural (6(A)(i)),7631,6
2014,Alaska,472,472,Land Management (6(A)(ii)),,
2014,Alaska,490,490,Forest management (6(A)(iv)),,
2014,Alaska,500,500,Land Management (6(A)(ii)),,
2014,Alaska,511,511,Forest management (6(A)(iv)),7537,4
2014,Alaska,512,512,Vegetative (6(A)(iii),,
2014,Alaska,528,528,Land Management (6(A)(ii)),,
2014,Alaska,568,568,Land Management (6(A)(ii)),1046998,6
2014,Alaska,587,587,Structural (6(A)(i)),,
2014,Alaska,590,590,Land Management (6(A)(ii)),365079,306
