Pay_year,state_code,State,category_code,category_name,payments
2017,1,Alabama,10 Forest management,Forest management,3924769.92
2017,1,Alabama,12 Soil remediation,Soil remediation,7414.25
2017,1,Alabama,13 Other 2 - improvement,Other 2 - improvement,876076.66
2017,1,Alabama,4 Conservating planning assessment,Conservating planning assessment,59270.64
2017,1,Alabama,6 Other 1 - planning,Other 1 - planning,131469.10
2017,1,Alabama,7 Structural,Structural,3876244.61
2017,1,Alabama,8 Land management,Land management,4014010.70
2017,1,Alabama,9 Vegetative,Vegetative,1184462.65
2018,1,Alabama,10 Forest management,Forest management,4444296.21
2018,1,Alabama,12 Soil remediation,Soil remediation,5156.21
2018,1,Alabama,13 Other 2 - improvement,Other 2 - improvement,1120090.06
2018,1,Alabama,4 Conservating planning assessment,Conservating planning assessment,70692.11
2018,1,Alabama,6 Other 1 - planning,Other 1 - planning,61704.73
2018,1,Alabama,7 Structural,Structural,4059601.36
2018,1,Alabama,8 Land management,Land management,6274865.68
2018,1,Alabama,9 Vegetative,Vegetative,1970500.76
2019,1,Alabama,10 Forest management,Forest management,5670209.22
2019,1,Alabama,13 Other 2 - improvement,Other 2 - improvement,1122776.78
2019,1,Alabama,4 Conservating planning assessment,Conservating planning assessment,65209.85
2019,1,Alabama,6 Other 1 - planning,Other 1 - planning,47784.16
2019,1,Alabama,7 Structural,Structural,4788274.20
2019,1,Alabama,8 Land management,Land management,6331651.46
2019,1,Alabama,9 Vegetative,Vegetative,2001522.24
2020,1,Alabama,10 Forest management,Forest management,6036767.10
2020,1,Alabama,12 Soil remediation,Soil remediation,4872.50
2020,1,Alabama,13 Other 2 - improvement,Other 2 - improvement,414399.32
2020,1,Alabama,4 Conservating planning assessment,Conservating planning assessment,8204.73
2020,1,Alabama,6 Other 1 - planning,Other 1 - planning,47882.01
2020,1,Alabama,7 Structural,Structural,4386785.92
2020,1,Alabama,8 Land management,Land management,6025089.65
2020,1,Alabama,9 Vegetative,Vegetative,2376797.44
2021,1,Alabama,10 Forest management,Forest management,5718562.33
2021,1,Alabama,12 Soil remediation,Soil remediation,15290.63
2021,1,Alabama,13 Other 2 - improvement,Other 2 - improvement,751368.58
2021,1,Alabama,6 Other 1 - planning,Other 1 - planning,60445.36
2021,1,Alabama,7 Structural,Structural,5189460.80
2021,1,Alabama,8 Land management,Land management,6072218.71
2021,1,Alabama,9 Vegetative,Vegetative,3949239.02
2022,1,Alabama,10 Forest Management,Forest Management,6830603.00
2022,1,Alabama,13 Other 2 - improvement,Other 2 - improvement,1082814.00
2022,1,Alabama,6 Other 1 - planning,Other 1 - planning,13688.00
2022,1,Alabama,7 Structural,Structural,4273515.00
2022,1,Alabama,8 Land Management,Land Management,6418277.00
2022,1,Alabama,9 Vegetative,Vegetative,1951790.00
2017,2,Alaska,10 Forest management,Forest management,3101961.17
2017,2,Alaska,13 Other 2 - improvement,Other 2 - improvement,23274.20
2017,2,Alaska,6 Other 1 - planning,Other 1 - planning,18776.57
2017,2,Alaska,7 Structural,Structural,1441306.50
2017,2,Alaska,8 Land management,Land management,537673.85
2017,2,Alaska,9 Vegetative,Vegetative,106318.93
